Tweet,Tweet Length,Cleaned_Tweet,Cleaned_Length,Normalized_Tweet,Normalized_Length,Tokenized_Tweet,Token_Count,No_Stopwords_Tweet,No_Stopwords_Count,Stemmed_Tweet,Stemmed_Count,Sentimen
Teorinya adalah 100 hari kerja mulai dinilai kinerja 6 bulan kerja mulai evaluasi dan peringatan 1 tahun kerja penilaian dgn evaluasi dampak dan efek brlanjut pada putusan evaluasi reshuffle Maka kami katakan 15 oktober lalu umur kabinet seken Jokowi cuma 1 tahun *FYI https://t.co/Zeu0ISHUWC,44,teorinya adalah 100 hari kerja mulai dinilai kinerja 6 bulan kerja mulai evaluasi dan peringatan 1 tahun kerja penilaian dgn evaluasi dampak dan efek brlanjut pada putusan evaluasi reshuffle maka kami katakan 15 oktober lalu umur kabinet seken jokowi cuma 1 tahun fyi,43,teorinya adalah 100 hari kerja mulai dinilai kinerja 6 bulan kerja mulai evaluasi dan peringatan 1 tahun kerja penilaian dgn evaluasi dampak dan efek brlanjut pada putusan evaluasi reshuffle maka kami katakan 15 oktober lalu umur kabinet seken jokowi cuma 1 tahun fyi,43,"[""teorinya"", ""adalah"", ""100"", ""hari"", ""kerja"", ""mulai"", ""dinilai"", ""kinerja"", ""6"", ""bulan"", ""kerja"", ""mulai"", ""evaluasi"", ""dan"", ""peringatan"", ""1"", ""tahun"", ""kerja"", ""penilaian"", ""dgn"", ""evaluasi"", ""dampak"", ""dan"", ""efek"", ""brlanjut"", ""pada"", ""putusan"", ""evaluasi"", ""reshuffle"", ""maka"", ""kami"", ""katakan"", ""15"", ""oktober"", ""lalu"", ""umur"", ""kabinet"", ""seken"", ""jokowi"", ""cuma"", ""1"", ""tahun"", ""fyi""]",397,"[""teorinya"", ""100"", ""kerja"", ""dinilai"", ""kinerja"", ""6"", ""kerja"", ""evaluasi"", ""peringatan"", ""1"", ""kerja"", ""penilaian"", ""evaluasi"", ""dampak"", ""efek"", ""brlanjut"", ""putusan"", ""evaluasi"", ""reshuffle"", ""15"", ""oktober"", ""umur"", ""kabinet"", ""seken"", ""jokowi"", ""1"", ""fyi""]",27,"[""teori"", ""100"", ""kerja"", ""nilai"", ""kerja"", ""6"", ""kerja"", ""evaluasi"", ""ingat"", ""1"", ""kerja"", ""nilai"", ""evaluasi"", ""dampak"", ""efek"", ""brlanjut"", ""putus"", ""evaluasi"", ""reshuffle"", ""15"", ""oktober"", ""umur"", ""kabinet"", ""ken"", ""jokowi"", ""1"", ""fyi""]",27,positif
Jadi Sorotan Nama-Nama Tersohor yang Tidak Masuk Kabinet https://t.co/XBYTxtug8l,9,jadi sorotan namanama tersohor yang tidak masuk kabinet,8,jadi sorotan namanama tersohor yang tidak masuk kabinet,8,"[""jadi"", ""sorotan"", ""namanama"", ""tersohor"", ""yang"", ""tidak"", ""masuk"", ""kabinet""]",80,"[""sorotan"", ""namanama"", ""tersohor"", ""masuk"", ""kabinet""]",5,"[""sorot"", ""namanama"", ""sohor"", ""masuk"", ""kabinet""]",5,netral
Yth @NUgarislucu bikin gini dong menteri dari Nahdliyin Teringat Ketum PB @nahdlatululama KH @YahyaCStaquf dalam pewartaannya separuh Kabinet/kementerian Pak @prabowo di isi oleh Orang NU Dan bagi saya Presiden dari NU masih Gus Dur SEORANG. https://t.co/m4tJ9mYkFR,36,yth nugarislucu bikin gini dong menteri dari nahdliyin teringat ketum pb nahdlatululama kh yahyacstaquf dalam pewartaannya separuh kabinetkementerian pak prabowo di isi oleh orang nu dan bagi saya presiden dari nu masih gus dur seorang,35,yth nugarislucu bikin gini dong menteri dari nahdliyin teringat ketum pb nahdlatululama kh yahyacstaquf dalam pewartaannya separuh kabinetkementerian pak prabowo di isi oleh orang nu dan bagi saya presiden dari nu masih gus dur seorang,35,"[""yth"", ""nugarislucu"", ""bikin"", ""gini"", ""dong"", ""menteri"", ""dari"", ""nahdliyin"", ""teringat"", ""ketum"", ""pb"", ""nahdlatululama"", ""kh"", ""yahyacstaquf"", ""dalam"", ""pewartaannya"", ""separuh"", ""kabinetkementerian"", ""pak"", ""prabowo"", ""di"", ""isi"", ""oleh"", ""orang"", ""nu"", ""dan"", ""bagi"", ""saya"", ""presiden"", ""dari"", ""nu"", ""masih"", ""gus"", ""dur"", ""seorang""]",341,"[""yth"", ""nugarislucu"", ""bikin"", ""menteri"", ""nahdliyin"", ""ketum"", ""pb"", ""nahdlatululama"", ""kh"", ""yahyacstaquf"", ""pewartaannya"", ""separuh"", ""kabinetkementerian"", ""prabowo"", ""isi"", ""orang"", ""nu"", ""presiden"", ""nu"", ""gus"", ""dur""]",21,"[""yth"", ""nugarislucu"", ""bikin"", ""menteri"", ""nahdliyin"", ""tum"", ""pb"", ""nahdlatululama"", ""kh"", ""yahyacstaquf"", ""warta"", ""paruh"", ""kabinetkementerian"", ""prabowo"", ""isi"", ""orang"", ""nu"", ""presiden"", ""nu"", ""gus"", ""dur""]",21,netral
Pertama Pak Presiden menyampaikan terima kasih karena beliau sudah mau membersamai beliau di Kabinet Merah Putih. Kedua bilang minta saya agar pekerja2 yang ada di Luar Negeri tidak dieksploitasi. Tdk perdagangan orang. Hak pekerja harus kita jaga semaksimal mungkin. #BP2MI https://t.co/yQpxoX9PoM,41,pertama pak presiden menyampaikan terima kasih karena beliau sudah mau membersamai beliau di kabinet merah putih kedua bilang minta saya agar pekerja2 yang ada di luar negeri tidak dieksploitasi tdk perdagangan orang hak pekerja harus kita jaga semaksimal mungkin bp2mi,40,pertama pak presiden menyampaikan terima kasih karena beliau sudah mau membersamai beliau di kabinet merah putih kedua bilang minta saya agar pekerja2 yang ada di luar negeri tidak dieksploitasi tdk perdagangan orang hak pekerja harus kita jaga semaksimal mungkin bp2mi,40,"[""pertama"", ""pak"", ""presiden"", ""menyampaikan"", ""terima"", ""kasih"", ""karena"", ""beliau"", ""sudah"", ""mau"", ""membersamai"", ""beliau"", ""di"", ""kabinet"", ""merah"", ""putih"", ""kedua"", ""bilang"", ""minta"", ""saya"", ""agar"", ""pekerja2"", ""yang"", ""ada"", ""di"", ""luar"", ""negeri"", ""tidak"", ""dieksploitasi"", ""tdk"", ""perdagangan"", ""orang"", ""hak"", ""pekerja"", ""harus"", ""kita"", ""jaga"", ""semaksimal"", ""mungkin"", ""bp2mi""]",390,"[""presiden"", ""terima"", ""kasih"", ""beliau"", ""membersamai"", ""beliau"", ""kabinet"", ""merah"", ""putih"", ""bilang"", ""pekerja2"", ""negeri"", ""dieksploitasi"", ""perdagangan"", ""orang"", ""hak"", ""pekerja"", ""jaga"", ""semaksimal"", ""bp2mi""]",20,"[""presiden"", ""terima"", ""kasih"", ""beliau"", ""sama"", ""beliau"", ""kabinet"", ""merah"", ""putih"", ""bilang"", ""pekerja2"", ""negeri"", ""eksploitasi"", ""dagang"", ""orang"", ""hak"", ""kerja"", ""jaga"", ""maksimal"", ""bp2mi""]",20,positif
@detikcom Ok bener sih. Tapi ide sperti ini harus berlaku di semua bidang. Termasuk kabinet super gemuk yg separonya lebih diisi orang2 yg gak mutu...,25,detikcom ok bener sih tapi ide sperti ini harus berlaku di semua bidang termasuk kabinet super gemuk yg separonya lebih diisi orang2 yg gak mutu,25,detikcom ok bener sih tapi ide sperti ini harus berlaku di semua bidang termasuk kabinet super gemuk yg separonya lebih diisi orang2 yg gak mutu,25,"[""detikcom"", ""ok"", ""bener"", ""sih"", ""tapi"", ""ide"", ""sperti"", ""ini"", ""harus"", ""berlaku"", ""di"", ""semua"", ""bidang"", ""termasuk"", ""kabinet"", ""super"", ""gemuk"", ""yg"", ""separonya"", ""lebih"", ""diisi"", ""orang2"", ""yg"", ""gak"", ""mutu""]",220,"[""detikcom"", ""ok"", ""bener"", ""ide"", ""sperti"", ""berlaku"", ""bidang"", ""kabinet"", ""super"", ""gemuk"", ""separonya"", ""diisi"", ""orang2"", ""gak"", ""mutu""]",15,"[""detikcom"", ""ok"", ""bener"", ""ide"", ""sperti"", ""laku"", ""bidang"", ""kabinet"", ""super"", ""gemuk"", ""paro"", ""isi"", ""orang2"", ""gak"", ""mutu""]",15,positif
@KompasTV Menunggu janji evaluasi per 6 bulan dari Pak @prabowo Masih minggu pertama di hari kedua (cmiiw) lho ini pak. Kok udah bikin malu kabinet. Menteri kok kagetan gini sampe ga ada malunya pake logo kementerian di acara pribadi padahal udah dinasihati Pak Mahfud MD.,45,kompastv menunggu janji evaluasi per 6 bulan dari pak prabowo masih minggu pertama di hari kedua cmiiw lho ini pak kok udah bikin malu kabinet menteri kok kagetan gini sampe ga ada malunya pake logo kementerian di acara pribadi padahal udah dinasihati pak mahfud md,45,kompastv menunggu janji evaluasi per 6 bulan dari pak prabowo masih minggu pertama di hari kedua cmiiw lho ini pak kok udah bikin malu kabinet menteri kok kagetan gini sampe ga ada malunya pake logo kementerian di acara pribadi padahal udah dinasihati pak mahfud md,45,"[""kompastv"", ""menunggu"", ""janji"", ""evaluasi"", ""per"", ""6"", ""bulan"", ""dari"", ""pak"", ""prabowo"", ""masih"", ""minggu"", ""pertama"", ""di"", ""hari"", ""kedua"", ""cmiiw"", ""lho"", ""ini"", ""pak"", ""kok"", ""udah"", ""bikin"", ""malu"", ""kabinet"", ""menteri"", ""kok"", ""kagetan"", ""gini"", ""sampe"", ""ga"", ""ada"", ""malunya"", ""pake"", ""logo"", ""kementerian"", ""di"", ""acara"", ""pribadi"", ""padahal"", ""udah"", ""dinasihati"", ""pak"", ""mahfud"", ""md""]",401,"[""kompastv"", ""menunggu"", ""janji"", ""evaluasi"", ""6"", ""prabowo"", ""minggu"", ""cmiiw"", ""lho"", ""udah"", ""bikin"", ""malu"", ""kabinet"", ""menteri"", ""kagetan"", ""sampe"", ""malunya"", ""logo"", ""kementerian"", ""acara"", ""pribadi"", ""udah"", ""dinasihati"", ""mahfud"", ""md""]",25,"[""kompastv"", ""tunggu"", ""janji"", ""evaluasi"", ""6"", ""prabowo"", ""minggu"", ""cmiiw"", ""lho"", ""udah"", ""bikin"", ""malu"", ""kabinet"", ""menteri"", ""kaget"", ""sampe"", ""malu"", ""logo"", ""menteri"", ""acara"", ""pribadi"", ""udah"", ""nasihat"", ""mahfud"", ""md""]",25,negatif
kabinet brainrot + makan siang gratis lunchly + kurikulum hawk tuah + food estate mango mango + pembangkit listrik tenaga still water + susu ikan drippy bruh,27,kabinet brainrot  makan siang gratis lunchly  kurikulum hawk tuah  food estate mango mango  pembangkit listrik tenaga still water  susu ikan drippy bruh,22,kabinet brainrot makan siang gratis lunchly kurikulum hawk tuah food estate mango mango pembangkit listrik tenaga still water susu ikan drippy bruh,22,"[""kabinet"", ""brainrot"", ""makan"", ""siang"", ""gratis"", ""lunchly"", ""kurikulum"", ""hawk"", ""tuah"", ""food"", ""estate"", ""mango"", ""mango"", ""pembangkit"", ""listrik"", ""tenaga"", ""still"", ""water"", ""susu"", ""ikan"", ""drippy"", ""bruh""]",214,"[""kabinet"", ""brainrot"", ""makan"", ""siang"", ""gratis"", ""lunchly"", ""kurikulum"", ""hawk"", ""tuah"", ""food"", ""estate"", ""mango"", ""mango"", ""pembangkit"", ""listrik"", ""tenaga"", ""still"", ""water"", ""susu"", ""ikan"", ""drippy"", ""bruh""]",22,"[""kabinet"", ""brainrot"", ""makan"", ""siang"", ""gratis"", ""lunchly"", ""kurikulum"", ""hawk"", ""tuah"", ""food"", ""estate"", ""mango"", ""mango"", ""bangkit"", ""listrik"", ""tenaga"", ""still"", ""water"", ""susu"", ""ikan"", ""drippy"", ""bruh""]",22,positif
Prabowo Ingin Bentuk Super Tim di Kabinet Merah Putih https://t.co/nrC9ol38pR,10,prabowo ingin bentuk super tim di kabinet merah putih,9,prabowo ingin bentuk super tim di kabinet merah putih,9,"[""prabowo"", ""ingin"", ""bentuk"", ""super"", ""tim"", ""di"", ""kabinet"", ""merah"", ""putih""]",81,"[""prabowo"", ""bentuk"", ""super"", ""tim"", ""kabinet"", ""merah"", ""putih""]",7,"[""prabowo"", ""bentuk"", ""super"", ""tim"", ""kabinet"", ""merah"", ""putih""]",7,positif
Lingkup negara kalau dapat kabinet mcm ni! ï¸ Ada hati tu request kabonet bayangan pun kene dapat elaun? Bajet pun tak dapat bentang ,23,lingkup negara kalau dapat kabinet mcm ni ï ada hati tu request kabonet bayangan pun kene dapat elaun bajet pun tak dapat bentang,23,lingkup negara kalau dapat kabinet mcm ni ï ada hati tu request kabonet bayangan pun kene dapat elaun bajet pun tak dapat bentang,23,"[""lingkup"", ""negara"", ""kalau"", ""dapat"", ""kabinet"", ""mcm"", ""ni"", ""ï"", ""ada"", ""hati"", ""tu"", ""request"", ""kabonet"", ""bayangan"", ""pun"", ""kene"", ""dapat"", ""elaun"", ""bajet"", ""pun"", ""tak"", ""dapat"", ""bentang""]",199,"[""lingkup"", ""negara"", ""kabinet"", ""mcm"", ""ï"", ""hati"", ""request"", ""kabonet"", ""bayangan"", ""kene"", ""elaun"", ""bajet"", ""bentang""]",13,"[""lingkup"", ""negara"", ""kabinet"", ""mcm"", ""hati"", ""request"", ""kabonet"", ""bayang"", ""kene"", ""elaun"", ""bajet"", ""bentang""]",12,negatif
Jam segini malah ovt gimana kalau Jokowi tiba2 masuk kabinet nya Prabowo ini.,13,jam segini malah ovt gimana kalau jokowi tiba2 masuk kabinet nya prabowo ini,13,jam segini malah ovt gimana kalau jokowi tiba2 masuk kabinet nya prabowo ini,13,"[""jam"", ""segini"", ""malah"", ""ovt"", ""gimana"", ""kalau"", ""jokowi"", ""tiba2"", ""masuk"", ""kabinet"", ""nya"", ""prabowo"", ""ini""]",116,"[""jam"", ""segini"", ""ovt"", ""gimana"", ""jokowi"", ""tiba2"", ""masuk"", ""kabinet"", ""nya"", ""prabowo""]",10,"[""jam"", ""gin"", ""ovt"", ""gimana"", ""jokowi"", ""tiba2"", ""masuk"", ""kabinet"", ""nya"", ""prabowo""]",10,negatif
@hnirankara Perpres no 137 th 2024 ditandangani dimasa INJURY TIME agar tak ada Politisi Ber #AkalSehat dan Pengamat Politik yg sadar karena sedang disibukkan dgn Proses Persiapan Kabinet &amp; Pelantikan Presiden. PS08 pun TAK KUASA MENOLAK. Cara licik dalam berPolitik. https://t.co/TSBRS2epK5,41,hnirankara perpres no 137 th 2024 ditandangani dimasa injury time agar tak ada politisi ber akalsehat dan pengamat politik yg sadar karena sedang disibukkan dgn proses persiapan kabinet  pelantikan presiden ps08 pun tak kuasa menolak cara licik dalam berpolitik,39,hnirankara perpres no 137 th 2024 ditandangani dimasa injury time agar tak ada politisi ber akalsehat dan pengamat politik yg sadar karena sedang disibukkan dgn proses persiapan kabinet pelantikan presiden ps08 pun tak kuasa menolak cara licik dalam berpolitik,39,"[""hnirankara"", ""perpres"", ""no"", ""137"", ""th"", ""2024"", ""ditandangani"", ""dimasa"", ""injury"", ""time"", ""agar"", ""tak"", ""ada"", ""politisi"", ""ber"", ""akalsehat"", ""dan"", ""pengamat"", ""politik"", ""yg"", ""sadar"", ""karena"", ""sedang"", ""disibukkan"", ""dgn"", ""proses"", ""persiapan"", ""kabinet"", ""pelantikan"", ""presiden"", ""ps08"", ""pun"", ""tak"", ""kuasa"", ""menolak"", ""cara"", ""licik"", ""dalam"", ""berpolitik""]",378,"[""hnirankara"", ""perpres"", ""no"", ""137"", ""th"", ""2024"", ""ditandangani"", ""dimasa"", ""injury"", ""time"", ""politisi"", ""ber"", ""akalsehat"", ""pengamat"", ""politik"", ""sadar"", ""disibukkan"", ""proses"", ""persiapan"", ""kabinet"", ""pelantikan"", ""presiden"", ""ps08"", ""kuasa"", ""menolak"", ""licik"", ""berpolitik""]",27,"[""hnirankara"", ""pres"", ""no"", ""137"", ""th"", ""2024"", ""ditandangani"", ""masa"", ""injury"", ""time"", ""politis"", ""ber"", ""akalsehat"", ""amat"", ""politik"", ""sadar"", ""sibuk"", ""proses"", ""siap"", ""kabinet"", ""lantik"", ""presiden"", ""ps08"", ""kuasa"", ""tolak"", ""licik"", ""politik""]",27,negatif
Warga 58% terbelah dua. Kubu Pro Prabowo vs Kubu Pro Fufufafa Tiap kubu saling mengklaim kalau jagoan paling hebat. Kalau begini ceritanya ngk akan lama kabinet merah putih anda pak @prabowo. Buang orang orang dekat jokowi dari istana itu solusinya. https://t.co/hO9w7E0w6X,41,warga 58 terbelah dua kubu pro prabowo vs kubu pro fufufafa tiap kubu saling mengklaim kalau jagoan paling hebat kalau begini ceritanya ngk akan lama kabinet merah putih anda pak prabowo buang orang orang dekat jokowi dari istana itu solusinya,40,warga 58 terbelah dua kubu pro prabowo vs kubu pro fufufafa tiap kubu saling mengklaim kalau jagoan paling hebat kalau begini ceritanya ngk akan lama kabinet merah putih anda pak prabowo buang orang orang dekat jokowi dari istana itu solusinya,40,"[""warga"", ""58"", ""terbelah"", ""dua"", ""kubu"", ""pro"", ""prabowo"", ""vs"", ""kubu"", ""pro"", ""fufufafa"", ""tiap"", ""kubu"", ""saling"", ""mengklaim"", ""kalau"", ""jagoan"", ""paling"", ""hebat"", ""kalau"", ""begini"", ""ceritanya"", ""ngk"", ""akan"", ""lama"", ""kabinet"", ""merah"", ""putih"", ""anda"", ""pak"", ""prabowo"", ""buang"", ""orang"", ""orang"", ""dekat"", ""jokowi"", ""dari"", ""istana"", ""itu"", ""solusinya""]",364,"[""warga"", ""58"", ""terbelah"", ""kubu"", ""pro"", ""prabowo"", ""vs"", ""kubu"", ""pro"", ""kubu"", ""mengklaim"", ""jagoan"", ""hebat"", ""ceritanya"", ""ngk"", ""kabinet"", ""merah"", ""putih"", ""prabowo"", ""buang"", ""orang"", ""orang"", ""jokowi"", ""istana"", ""solusinya""]",25,"[""warga"", ""58"", ""belah"", ""kubu"", ""pro"", ""prabowo"", ""vs"", ""kubu"", ""pro"", ""kubu"", ""klaim"", ""jago"", ""hebat"", ""cerita"", ""ngk"", ""kabinet"", ""merah"", ""putih"", ""prabowo"", ""buang"", ""orang"", ""orang"", ""jokowi"", ""istana"", ""solusi""]",25,positif
War biassaahhh... Menterinya Prabowo memang lucuÂ². Beginilah kalo kabinet cuma buat bagiÂ². Kabinet balas budi. Hadeuhhh...! Ada menteri yang buruÂ² bilang tragedi 1998 bukan pelanggaran HAM berat. Sedang menjilat?,29,war biassaahhh menterinya prabowo memang lucuâ² beginilah kalo kabinet cuma buat bagiâ² kabinet balas budi hadeuhhh ada menteri yang buruâ² bilang tragedi 1998 bukan pelanggaran ham berat sedang menjilat,29,war biassaahhh menterinya prabowo memang lucuâ² beginilah kalo kabinet cuma buat bagiâ² kabinet balas budi hadeuhhh ada menteri yang buruâ² bilang tragedi 1998 bukan pelanggaran ham berat sedang menjilat,29,"[""war"", ""biassaahhh"", ""menterinya"", ""prabowo"", ""memang"", ""lucuâ²"", ""beginilah"", ""kalo"", ""kabinet"", ""cuma"", ""buat"", ""bagiâ²"", ""kabinet"", ""balas"", ""budi"", ""hadeuhhh"", ""ada"", ""menteri"", ""yang"", ""buruâ²"", ""bilang"", ""tragedi"", ""1998"", ""bukan"", ""pelanggaran"", ""ham"", ""berat"", ""sedang"", ""menjilat""]",291,"[""war"", ""biassaahhh"", ""menterinya"", ""prabowo"", ""lucuâ²"", ""kalo"", ""kabinet"", ""bagiâ²"", ""kabinet"", ""balas"", ""hadeuhhh"", ""menteri"", ""buruâ²"", ""bilang"", ""tragedi"", ""1998"", ""pelanggaran"", ""ham"", ""berat"", ""menjilat""]",20,"[""war"", ""biassaahhh"", ""menteri"", ""prabowo"", ""lucu"", ""kalo"", ""kabinet"", ""bagi"", ""kabinet"", ""balas"", ""hadeuhhh"", ""menteri"", ""buru"", ""bilang"", ""tragedi"", ""1998"", ""langgar"", ""ham"", ""berat"", ""jilat""]",20,negatif
Menteri dan Wakil Menteri Kabinet Merah Putih akan mengikuti bimbingan dan pelatikan Akademi Militer atau Akmil. Pembekalan akan di gelar di Magelang Jawa Tengah AHY merasakan ada rasa nostalgia kembali ke Akademi Militer. @AgusYudhoyono https://t.co/m8w2hqkxoP,35,menteri dan wakil menteri kabinet merah putih akan mengikuti bimbingan dan pelatikan akademi militer atau akmil pembekalan akan di gelar di magelang jawa tengah ahy merasakan ada rasa nostalgia kembali ke akademi militer agusyudhoyono,34,menteri dan wakil menteri kabinet merah putih akan mengikuti bimbingan dan pelatikan akademi militer atau akmil pembekalan akan di gelar di magelang jawa tengah ahy merasakan ada rasa nostalgia kembali ke akademi militer agusyudhoyono,34,"[""menteri"", ""dan"", ""wakil"", ""menteri"", ""kabinet"", ""merah"", ""putih"", ""akan"", ""mengikuti"", ""bimbingan"", ""dan"", ""pelatikan"", ""akademi"", ""militer"", ""atau"", ""akmil"", ""pembekalan"", ""akan"", ""di"", ""gelar"", ""di"", ""magelang"", ""jawa"", ""tengah"", ""ahy"", ""merasakan"", ""ada"", ""rasa"", ""nostalgia"", ""kembali"", ""ke"", ""akademi"", ""militer"", ""agusyudhoyono""]",337,"[""menteri"", ""wakil"", ""menteri"", ""kabinet"", ""merah"", ""putih"", ""mengikuti"", ""bimbingan"", ""pelatikan"", ""akademi"", ""militer"", ""akmil"", ""pembekalan"", ""gelar"", ""magelang"", ""jawa"", ""ahy"", ""merasakan"", ""nostalgia"", ""akademi"", ""militer"", ""agusyudhoyono""]",22,"[""menteri"", ""wakil"", ""menteri"", ""kabinet"", ""merah"", ""putih"", ""ikut"", ""bimbing"", ""pelatikan"", ""akademi"", ""militer"", ""akmil"", ""bekal"", ""gelar"", ""magelang"", ""jawa"", ""ahy"", ""rasa"", ""nostalgia"", ""akademi"", ""militer"", ""agusyudhoyono""]",22,netral
KENAPA MENTERI KABINET PRABOWO LUCU-LUCU YA? BALADA KABINET BAGI-BAGI KABINET BALAS BUDI War biassaahhh... Menterinya Prabowo memang lucuÂ². Beginilah kalo kabinet cuma buat bagiÂ². Kabinet balas budi. Hadeuhhh...! https://t.co/Qn3eUhR3kL,29,kenapa menteri kabinet prabowo luculucu ya balada kabinet bagibagi kabinet balas budi war biassaahhh menterinya prabowo memang lucuâ² beginilah kalo kabinet cuma buat bagiâ² kabinet balas budi hadeuhhh,28,kenapa menteri kabinet prabowo luculucu ya balada kabinet bagibagi kabinet balas budi war biassaahhh menterinya prabowo memang lucuâ² beginilah kalo kabinet cuma buat bagiâ² kabinet balas budi hadeuhhh,28,"[""kenapa"", ""menteri"", ""kabinet"", ""prabowo"", ""luculucu"", ""ya"", ""balada"", ""kabinet"", ""bagibagi"", ""kabinet"", ""balas"", ""budi"", ""war"", ""biassaahhh"", ""menterinya"", ""prabowo"", ""memang"", ""lucuâ²"", ""beginilah"", ""kalo"", ""kabinet"", ""cuma"", ""buat"", ""bagiâ²"", ""kabinet"", ""balas"", ""budi"", ""hadeuhhh""]",286,"[""menteri"", ""kabinet"", ""prabowo"", ""luculucu"", ""balada"", ""kabinet"", ""bagibagi"", ""kabinet"", ""balas"", ""war"", ""biassaahhh"", ""menterinya"", ""prabowo"", ""lucuâ²"", ""kalo"", ""kabinet"", ""bagiâ²"", ""kabinet"", ""balas"", ""hadeuhhh""]",20,"[""menteri"", ""kabinet"", ""prabowo"", ""luculucu"", ""balada"", ""kabinet"", ""bagibagi"", ""kabinet"", ""balas"", ""war"", ""biassaahhh"", ""menteri"", ""prabowo"", ""lucu"", ""kalo"", ""kabinet"", ""bagi"", ""kabinet"", ""balas"", ""hadeuhhh""]",20,negatif
KABINET BAYANGAN SAMPAH PUAKÂ² PEMBANGANG BANI PAS PNunggang AGAMA @MuhyiddinYassin @abdulhadiawang @hamzahzainudin_ @PPBMofficial @PNRasmiMY @PASPusat @harakahdailyHD,16,kabinet bayangan sampah puakâ² pembangang bani pas pnunggang agama muhyiddinyassin abdulhadiawang hamzahzainudin_ ppbmofficial pnrasmimy paspusat harakahdailyhd,16,kabinet bayangan sampah puakâ² pembangang bani pas pnunggang agama muhyiddinyassin abdulhadiawang hamzahzainudin_ ppbmofficial pnrasmimy paspusat harakahdailyhd,16,"[""kabinet"", ""bayangan"", ""sampah"", ""puakâ²"", ""pembangang"", ""bani"", ""pas"", ""pnunggang"", ""agama"", ""muhyiddinyassin"", ""abdulhadiawang"", ""hamzahzainudin_"", ""ppbmofficial"", ""pnrasmimy"", ""paspusat"", ""harakahdailyhd""]",209,"[""kabinet"", ""bayangan"", ""sampah"", ""puakâ²"", ""pembangang"", ""bani"", ""pas"", ""pnunggang"", ""agama"", ""muhyiddinyassin"", ""abdulhadiawang"", ""hamzahzainudin_"", ""ppbmofficial"", ""pnrasmimy"", ""paspusat"", ""harakahdailyhd""]",16,"[""kabinet"", ""bayang"", ""sampah"", ""puak"", ""bangang"", ""bani"", ""pas"", ""pnunggang"", ""agama"", ""muhyiddinyassin"", ""abdulhadiawang"", ""hamzahzainudin"", ""ppbmofficial"", ""pnrasmimy"", ""paspusat"", ""harakahdailyhd""]",16,negatif
War biassaahhh... Menterinya Prabowo memang lucuÂ². Beginilah kalo kabinet cuma buat bagiÂ². Kabinet balas budi. Hadeuhhh...!,16,war biassaahhh menterinya prabowo memang lucuâ² beginilah kalo kabinet cuma buat bagiâ² kabinet balas budi hadeuhhh,16,war biassaahhh menterinya prabowo memang lucuâ² beginilah kalo kabinet cuma buat bagiâ² kabinet balas budi hadeuhhh,16,"[""war"", ""biassaahhh"", ""menterinya"", ""prabowo"", ""memang"", ""lucuâ²"", ""beginilah"", ""kalo"", ""kabinet"", ""cuma"", ""buat"", ""bagiâ²"", ""kabinet"", ""balas"", ""budi"", ""hadeuhhh""]",164,"[""war"", ""biassaahhh"", ""menterinya"", ""prabowo"", ""lucuâ²"", ""kalo"", ""kabinet"", ""bagiâ²"", ""kabinet"", ""balas"", ""hadeuhhh""]",11,"[""war"", ""biassaahhh"", ""menteri"", ""prabowo"", ""lucu"", ""kalo"", ""kabinet"", ""bagi"", ""kabinet"", ""balas"", ""hadeuhhh""]",11,negatif
@gorunbiraz3 @prabowo @gibran_tweet @golkar_id @bahlillahadalia @99propaganda @MerrMagda @faizalassegaf Kabinet baru tapi tetap boros! Ngasih makan gratis nggak akan bikin negara ini maju!,22,gorunbiraz3 prabowo gibran_tweet golkar_id bahlillahadalia 99propaganda merrmagda faizalassegaf kabinet baru tapi tetap boros ngasih makan gratis nggak akan bikin negara ini maju,22,gorunbiraz3 prabowo gibran_tweet golkar_id bahlillahadalia 99propaganda merrmagda faizalassegaf kabinet baru tapi tetap boros ngasih makan gratis nggak akan bikin negara ini maju,22,"[""gorunbiraz3"", ""prabowo"", ""gibran_tweet"", ""golkar_id"", ""bahlillahadalia"", ""99propaganda"", ""merrmagda"", ""faizalassegaf"", ""kabinet"", ""baru"", ""tapi"", ""tetap"", ""boros"", ""ngasih"", ""makan"", ""gratis"", ""nggak"", ""akan"", ""bikin"", ""negara"", ""ini"", ""maju""]",245,"[""gorunbiraz3"", ""prabowo"", ""gibran_tweet"", ""bahlillahadalia"", ""99propaganda"", ""merrmagda"", ""faizalassegaf"", ""kabinet"", ""boros"", ""ngasih"", ""makan"", ""gratis"", ""bikin"", ""negara"", ""maju""]",15,"[""gorunbiraz3"", ""prabowo"", ""gibran"", ""tweet"", ""bahlillahadalia"", ""99propaganda"", ""merrmagda"", ""faizalassegaf"", ""kabinet"", ""boros"", ""ngasih"", ""makan"", ""gratis"", ""bikin"", ""negara"", ""maju""]",16,positif
