Tweet,Sentimen,Tweet Length,Tokenized
war biassaahhh menterinya prabowo memang lucu beginilah kalo kabinet cuma buat bagi kabinet balas budi hadeuhhh ada menteri yang buru bilang tragedi bukan pelanggaran ham berat sedang menjilat,negatif,29,"['war', 'biassaahhh', 'menteri', 'prabowo', 'lucu', 'kalo', 'kabinet', 'kabinet', 'balas', 'hadeuhhh', 'menteri', 'buru', 'bilang', 'tragedi', 'langgar', 'ham', 'berat', 'jilat']"
menteri dan wakil menteri kabinet merah putih akan mengikuti bimbingan dan pelatikan akademi militer atau akmil pembekalan akan di gelar di magelang jawa tengah ahy merasakan ada rasa nostalgia kembali ke akademi militer ,positif,35,"['menteri', 'wakil', 'menteri', 'kabinet', 'merah', 'putih', 'ikut', 'bimbing', 'pelatikan', 'akademi', 'militer', 'akmil', 'bekal', 'gelar', 'magelang', 'jawa', 'ahy', 'rasa', 'nostalgia', 'akademi', 'militer']"
kenapa menteri kabinet prabowo luculucu ya balada kabinet bagibagi kabinet balas budi war biassaahhh menterinya prabowo memang lucu beginilah kalo kabinet cuma buat bagi kabinet balas budi hadeuhhh ,negatif,29,"['menteri', 'kabinet', 'prabowo', 'luculucu', 'balada', 'kabinet', 'bagibagi', 'kabinet', 'balas', 'war', 'biassaahhh', 'menteri', 'prabowo', 'lucu', 'kalo', 'kabinet', 'kabinet', 'balas', 'hadeuhhh']"
kabinet bayangan sampah puak pembangang bani pas pnunggang agama ,negatif,16,"['kabinet', 'bayang', 'sampah', 'puak', 'bangang', 'bani', 'pas', 'pnunggang', 'agama']"
war biassaahhh menterinya prabowo memang lucu beginilah kalo kabinet cuma buat bagi kabinet balas budi hadeuhhh,negatif,16,"['war', 'biassaahhh', 'menteri', 'prabowo', 'lucu', 'kalo', 'kabinet', 'kabinet', 'balas', 'hadeuhhh']"
 kabinet baru tapi tetap boros ngasih makan gratis nggak akan bikin negara ini maju,negatif,22,"['kabinet', 'boros', 'ngasih', 'makan', 'gratis', 'bikin', 'negara', 'maju']"
abis liat tenda akmil kabinet merah putih sekelas glamping lemgkap bgt tp gw setuju sii semoga ada agenda guling gulingan sama push up di lapangan yeee,negatif,26,"['abis', 'tenda', 'akmil', 'kabinet', 'merah', 'putih', 'kelas', 'glamping', 'lemgkap', 'tuju', 'sii', 'moga', 'agenda', 'guling', 'guling', 'push', 'up', 'lapang', 'yeee']"
 akibat kabinet tak sehat,negatif,5,"['akibat', 'kabinet', 'sehat']"
 kabinet baru tapi kebijakan lama boros dan nggak mendidik mau jadi negara apa kita,negatif,19,"['kabinet', 'bijak', 'boros', 'didik', 'negara']"
bangun jam segini ngakak sendiri gara inget barusan mimpi apa masa aku ngimpi masuk kabinet merah putih kementrian pargoi indonesia ini beneran allah ngasih aku mimpi kaya gini seumur aku blm pernah pargoi lho nggak pernah joget tiktok jg bisanya dilantik dlm mimpi ,negatif,43,"['bangun', 'jam', 'gin', 'ngakak', 'gara', 'inget', 'barusan', 'mimpi', 'ngimpi', 'masuk', 'kabinet', 'merah', 'putih', 'tri', 'pargoi', 'indonesia', 'beneran', 'allah', 'ngasih', 'mimpi', 'kaya', 'umur', 'pargoi', 'lho', 'joget', 'tiktok', 'bisa', 'lantik', 'mimpi']"
 btw benci ke pemerintahan bukan brrti semuanya dibenci bro diliat dulu lah bru komentar blm juga kerja seminggu udah dikomplain semuanya liat nnti aja efisien atau ga nya nih kabinet jan langsung disimpulin,netral,36,"['btw', 'benci', 'perintah', 'brrti', 'benci', 'bro', 'liat', 'bru', 'komentar', 'kerja', 'minggu', 'udah', 'komplain', 'nnti', 'efisien', 'nya', 'kabinet', 'jan', 'langsung', 'disimpulin']"
 jd keluarga kabinet skrng subsidiin gw makan siang anniv ya,negatif,13,"['keluarga', 'kabinet', 'skrng', 'subsidiin', 'makan', 'siang', 'anniv']"
menanti langkah penyelamatan manufaktur kabinet prabowo ,netral,8,"['langkah', 'selamat', 'manufaktur', 'kabinet', 'prabowo']"
 ada mekanisme nya lah itu harus dibahas dirapat kabinet krn terkait dgn instansi lain lamgkah mendik ini bagus krn gerak cepat menolong guru honorer yg sedang dipermasalahkan,positif,29,"['mekanisme', 'nya', 'bahas', 'rapat', 'kabinet', 'kait', 'instansi', 'lamgkah', 'dik', 'bagus', 'gerak', 'cepat', 'tolong', 'guru', 'honorer', 'masalah']"
 siap mengkudeta kabinet owo dan fufufafa siap membakar ikn ,negatif,11,"['kudeta', 'kabinet', 'owo', 'bakar', 'ikn']"
 rapat kabinet aja belum digelar saking gk pahamnya dia kira bakalan nabrak apalagi ke depannya,negatif,16,"['rapat', 'kabinet', 'gelar', 'saking', 'paham', 'nabrak', 'depan']"
 yandri sudah mengakui kesalahannya dan berjanji tidak mengulangi lagi di kabinet presiden sebelumnya belum ada menteri yg mengakui kesalahannya atau kekeliruan nya karena apa dia mengakui salah karena pak tidak mentolerir sebuah kesalahan akibat kebodohan ,positif,37,"['yandri', 'aku', 'salah', 'janji', 'ulang', 'kabinet', 'presiden', 'menteri', 'aku', 'salah', 'keliru', 'nya', 'aku', 'salah', 'tolerir', 'salah', 'akibat', 'bodoh']"
 kabinet obesitas semua penyakit kumpul di sini tunggu anfal nya saja,negatif,12,"['kabinet', 'obesitas', 'sakit', 'kumpul', 'tunggu', 'anfal', 'nya']"
 jumlah anggota kabinetnya di grafik ini udah menunjukkan bahwa kabinet prabowo udah melampaui kabinet menterinya soekarno ,negatif,19,"['anggota', 'kabinet', 'grafik', 'udah', 'kabinet', 'prabowo', 'udah', 'lampau', 'kabinet', 'menteri', 'soekarno']"
 liat dulu aja kedepannya kan itu lagi ngomongin kemaren kemaren semoga bisa berubah lebih baik dari kabinet skrng tidak ada lgi lambat birokrasi,netral,25,"['depan', 'ngomongin', 'kemaren', 'kemaren', 'moga', 'ubah', 'kabinet', 'skrng', 'lgi', 'lambat', 'birokrasi']"
 orang pertama yg mengotori kabinet merah putih ,negatif,8,"['orang', 'kotor', 'kabinet', 'merah', 'putih']"
 haha kau try suruh papanon berdailog ngn mufti ruu ni dh go through kabinet kira papanon pun dah setuju dengn ruu untuk dibentang tengok siapa yg penakut,negatif,39,"['haha', 'kau', 'try', 'suruh', 'papanon', 'berdailog', 'ngn', 'mufti', 'ruu', 'dh', 'go', 'through', 'kabinet', 'papanon', 'tuju', 'dengn', 'ruu', 'bentang', 'tengok', 'takut']"
kemaren pas nyusun kabinet bacain mentri baru merah putih sempet kebawa suasana banyak yg pensiun dll ampe nangis melow sendiri eh taunya cuma ganti jabatan anjirr pak bass kepala otorita luhut ketua eknas sialan ngapain gue sedih kemaren balikin air mata gue,negatif,42,"['kemaren', 'pas', 'nyusun', 'kabinet', 'bacain', 'tri', 'merah', 'putih', 'sempet', 'bawa', 'suasana', 'pensiun', 'ampe', 'nang', 'melow', 'eh', 'tau', 'ganti', 'jabat', 'anjirr', 'bass', 'kepala', 'otorita', 'luhut', 'ketua', 'eknas', 'sial', 'ngapain', 'sedih', 'kemaren', 'balikin', 'air', 'mata']"
 baru kali ini liat ruang rapat kabinet seluas ini,negatif,10,"['kali', 'ruang', 'rapat', 'kabinet', 'luas']"
presiden prabowo tekankan kerja sama tim dan efisiensi dalam sidang kabinet paripurna perdana ,negatif,14,"['presiden', 'prabowo', 'tekan', 'kerja', 'tim', 'efisiensi', 'sidang', 'kabinet', 'paripurna', 'perdana']"
instruksi presiden prabowo untuk tni polri kejagung di sidang kabinet ,negatif,11,"['instruksi', 'presiden', 'prabowo', 'tni', 'polri', 'jagung', 'sidang', 'kabinet']"
prabowo gelar sidang kabinet wapres cek makan bergizi pembekalan akmil magelang top news ,positif,13,"['prabowo', 'gelar', 'sidang', 'kabinet', 'wapres', 'cek', 'makan', 'gizi', 'bekal', 'akmil', 'magelang', 'top', 'news']"
 kmren di kabinet ngapain aja takut sama mulyono ,negatif,11,"['kmren', 'kabinet', 'ngapain', 'takut', 'mulyono']"
 sy dah posting msalh inidari isu kabinet berikut nama jd topik media gada respon positif dari pasar mungkin pasar senin iya boomerang ,negatif,23,"['sy', 'posting', 'msalh', 'inidari', 'isu', 'kabinet', 'nama', 'topik', 'media', 'gada', 'respon', 'positif', 'pasar', 'pasar', 'senin', 'iya', 'boomerang']"
 indonesia di bawah kendali israel dibrezim jkw maja tak heran imam istiqlal umar dan abu janda permadi adalah titipan loby yahudi lewat jkw agar diveri jabatan di kabinet prabowo,negatif,30,"['indonesia', 'kendali', 'israel', 'dibrezim', 'maja', 'heran', 'imam', 'istiqlal', 'umar', 'abu', 'janda', 'madi', 'titip', 'loby', 'yahudi', 'diveri', 'jabat', 'kabinet', 'prabowo']"
 kabinet merah putih langsung tancap gas buat wujudkan janji kampanye prabowogibran,positif,20,"['kabinet', 'merah', 'putih', 'langsung', 'tancap', 'gas', 'wujud', 'janji', 'kampanye', 'prabowogibran']"
 kabinet merah putih udah siap wujudkan program hari kerja,positif,15,"['kabinet', 'merah', 'putih', 'udah', 'wujud', 'program', 'kerja']"
 jika permintaan nya diluluskan tuan presiden kementerian lain juga melakukan hal yang sama maka habislah apbn untuk kabinet super gemoy dan indonesia good bye,negatif,26,"['minta', 'nya', 'lulus', 'tuan', 'presiden', 'menteri', 'habis', 'apbn', 'kabinet', 'super', 'gemoy', 'indonesia', 'good', 'bye']"
kasihan banget mepet mepet ke prabowo namun kadernya gak ada yg masuk kabinet prabowo pantesan koq gak ada suaranya ,negatif,23,"['kasihan', 'banget', 'mepet', 'mepet', 'prabowo', 'kader', 'gak', 'masuk', 'kabinet', 'prabowo', 'pantesan', 'koq', 'gak', 'suara']"
 arahan di rapat efisiensi anggaran kenyataannya di bentuk kabnet gemuk banyak wamen staf khusus utusan presiden staf ahli alokasi anggaran membengkan pasti yg banyak belanja pegawai anggaran program untuk rakyat kurang ,negatif,34,"['arah', 'rapat', 'efisiensi', 'anggar', 'nyata', 'bentuk', 'kabnet', 'gemuk', 'wamen', 'staf', 'khusus', 'utus', 'presiden', 'staf', 'ahli', 'alokasi', 'anggar', 'membengkan', 'belanja', 'pegawai', 'anggar', 'program', 'rakyat']"
apakah pakar yg di negeri ini terutama yg ada di juga serta tidak berpikir untuk membuat nomenklaturnya yg pasti kabinet ini akan tidak efektifampefisien ,negatif,28,"['pakar', 'negeri', 'pikir', 'nomenklatur', 'kabinet', 'efektifampefisien']"
blakblakan jadi begini isi kabinet merah putih via ,negatif,11,"['blakblakan', 'isi', 'kabinet', 'merah', 'putih', 'via']"
 kabinet aja orang efisiensi mana atuh ,negatif,9,"['kabinet', 'orang', 'efisiensi', 'atuh']"
 jadi setiap bulan akan ada orang kaya baru yg diangkat dikasih limit bulan harus kaya setelah itu gantian dengan yg lain pantesan kabinet banyak dan yg diangkat sesukanya apakah ini kabinet bagi kekayaan maksudnya,negatif,37,"['orang', 'kaya', 'angkat', 'kasih', 'limit', 'kaya', 'ganti', 'pantesan', 'kabinet', 'angkat', 'suka', 'kabinet', 'kaya', 'maksud']"
menyoroti hasil rapat paripurna kabinet merah putih pertama yang membahas generasi emas pada sore ini talk pengamat politik dan kebijakan publik universitas andalas sumbar prof dr asrinaldi streaming ,netral,33,"['sorot', 'hasil', 'rapat', 'paripurna', 'kabinet', 'merah', 'putih', 'bahas', 'generasi', 'emas', 'sore', 'talk', 'amat', 'politik', 'bijak', 'publik', 'universitas', 'andalas', 'sumbar', 'prof', 'asrinaldi', 'streaming']"
cool darimananya sih untuk semua orangorang yang dipasang di kabinet ini lebih baik jangan kagum terlalu dini,negatif,17,"['cool', 'darimananya', 'orangorang', 'pasang', 'kabinet', 'kagum']"
 kabinet baru udah siap jalankan programprogram yang dijanjikan,positif,18,"['kabinet', 'udah', 'jalan', 'programprogram', 'janji']"
 acara kebudayaan aja itu kakk guanlin jdi representative sutradara termuda katanyaaaa tp vibesnya kyk kabinet merah putih bgt wkwkwkkw,negatif,20,"['acara', 'budaya', 'kakk', 'guanlin', 'jdi', 'representative', 'sutradara', 'muda', 'katanyaaaa', 'vibesnya', 'kyk', 'kabinet', 'merah', 'putih', 'wkwkwkkw']"
 akmil magelang jadi tempat penyamaan visi misi kabinet baru biar program lancar,positif,17,"['akmil', 'magelang', 'sama', 'visi', 'misi', 'kabinet', 'biar', 'program', 'lancar']"
saifuddin nasution sewaktu berada dalam kabinet dr mahathir sebagai menteri kpdhep buat kerja sungguhsungguh dia boleh je manage isu harga barang beras tak hilang tang kabinet anwar ibrahim kelaut sama jawatan pm lain kalau ketua hauk hauk la orang bawahan nya,netral,42,"['saifuddin', 'nasution', 'kabinet', 'mahathir', 'menteri', 'kpdhep', 'kerja', 'sungguhsungguh', 'je', 'manage', 'isu', 'harga', 'barang', 'beras', 'hilang', 'tang', 'kabinet', 'anwar', 'ibrahim', 'laut', 'jawat', 'pm', 'ketua', 'hauk', 'hauk', 'la', 'orang', 'bawah', 'nya']"
 kabinet merah putih udah siap buat jalanin program hari kerja yang solid,positif,21,"['kabinet', 'merah', 'putih', 'udah', 'jalanin', 'program', 'kerja', 'solid']"
 lucu banged tweet ini hahahhahah pak isi kabinet kaya nyari tmn eluh aja dah masuk kagak ada org lg hahahhahha,negatif,22,"['lucu', 'banged', 'tweet', 'hahahhahah', 'isi', 'kabinet', 'kaya', 'nyari', 'tmn', 'eluh', 'masuk', 'kagak', 'org', 'lg', 'hahahhahha']"
prabowo soal kabinet merah putih di sidang perdana jumlah ini saya sadari tergolong besar ,netral,15,"['prabowo', 'kabinet', 'merah', 'putih', 'sidang', 'perdana', 'sadar', 'golong']"
dipimpin prabowo ini suasana sidang perdana kabinet merah putih di istana ,netral,12,"['pimpin', 'prabowo', 'suasana', 'sidang', 'perdana', 'kabinet', 'merah', 'putih', 'istana']"
 kenapa km anti militer coba jawab liat background presiden saat ini ini gaya kepemimpinan terserah presiden lah bagaimana cara mereka menggembleng pasukan kabinet nya feel on field mereka di brainstorm untuk bertindak secara luhur apa yg mereka lakukan harus untuk negara,negatif,44,"['km', 'anti', 'militer', 'coba', 'background', 'presiden', 'gaya', 'pimpin', 'serah', 'presiden', 'gembleng', 'pasu', 'kabinet', 'nya', 'feel', 'on', 'field', 'brainstorm', 'tindak', 'luhur', 'laku', 'negara']"
 kabinet merah putih siap gaspol wujudkan janji kampanye rakyat siap lihat perubahan nyata,positif,18,"['kabinet', 'merah', 'putih', 'gaspol', 'wujud', 'janji', 'kampanye', 'rakyat', 'lihat', 'ubah', 'nyata']"
padahal di rapat kabinet beliau bilang hindari kegiatan yang sifatnya seremonial ,negatif,11,"['rapat', 'kabinet', 'beliau', 'bilang', 'hindar', 'giat', 'sifat', 'seremonial']"
yandri dikritik pedas rocky gerung seluruh menteri kabinet merah putih diperingatkan mayor teddy ,positif,14,"['yandri', 'kritik', 'pedas', 'rocky', 'gerung', 'menteri', 'kabinet', 'merah', 'putih', 'ingat', 'mayor', 'teddy']"
demi memenuhi hawa nafsu mulyono rupiahpun dibiarkan ambruk kabinet ga pakai otak,negatif,12,"['penuh', 'hawa', 'nafsu', 'mulyono', 'rupiah', 'biar', 'ambruk', 'kabinet', 'pakai', 'otak']"
 kabinet liar,negatif,4,"['kabinet', 'liar']"
sekarang kita bisa tahu apa yg disampaikan presiden dalam rapat kabinet terima kasih dan sukses selalu,positif,16,"['presiden', 'rapat', 'kabinet', 'terima', 'kasih', 'sukses']"
nilai tukar rupiah anjlok usai pelantikan menteri prabowo analis sebut karena kabinet gemuk ,negatif,15,"['nilai', 'tukar', 'rupiah', 'anjlok', 'lantik', 'menteri', 'prabowo', 'analis', 'kabinet', 'gemuk']"
 anjir lengah dikit tiba jd mentri kabinet merah putih,negatif,10,"['anjir', 'lengah', 'dikit', 'tri', 'kabinet', 'merah', 'putih']"
kabinet gemuk dikhawatirkan hambat koordinasi antarkementerian ,negatif,7,"['kabinet', 'gemuk', 'khawatir', 'hambat', 'koordinasi', 'antarkementerian']"
prabowo pimpin sidang perdana kabinet merah putih ,netral,9,"['prabowo', 'pimpin', 'sidang', 'perdana', 'kabinet', 'merah', 'putih']"
 sidang kabinet perdana aja baru tadi udah nge gas duluan,negatif,11,"['sidang', 'kabinet', 'perdana', 'udah', 'nge', 'gas', 'duluan']"
 menteri koperasi budi arie setiadi menyampaikan bahwa sekretaris kabinet seskab mayor teddy indra wijaya telah mengingatkan seluruh menteri di kabinet merah putih untuk lebih berhatihati dalam penggunaan kop surat kementerian dan tanda tangan menteri,netral,35,"['menteri', 'koperasi', 'arie', 'setiadi', 'sekretaris', 'kabinet', 'seskab', 'mayor', 'teddy', 'indra', 'wijaya', 'menteri', 'kabinet', 'merah', 'putih', 'berhatihati', 'guna', 'kop', 'surat', 'menteri', 'tanda', 'tangan', 'menteri']"
 kabinet kerja kerja kerja pt ,netral,6,"['kabinet', 'kerja', 'kerja', 'kerja', 'pt']"
menyoal zaken kabinet dengan wibawa presiden demisoner ,negatif,9,"['soal', 'zaken', 'kabinet', 'wibawa', 'presiden', 'demisoner']"
prabowo ke kabinet merah putih seremonial sarasehan hingga ke luar negeri mohon dikurangi ,positif,14,"['prabowo', 'kabinet', 'merah', 'putih', 'seremonial', 'sarasehan', 'negeri', 'mohon', 'rang']"
full arahan presiden prabowo di sidang perdana kabinet merah putih ke menterikepala badan ,positif,15,"['full', 'arah', 'presiden', 'prabowo', 'sidang', 'perdana', 'kabinet', 'merah', 'putih', 'menterikepala', 'badan']"
rapat kabinet perdana ada bahas ikngk sih,negatif,7,"['rapat', 'kabinet', 'perdana', 'bahas', 'ikngk']"
 hari blunder kabinet merah putih lesgoooooo ,negatif,9,"['blunder', 'kabinet', 'merah', 'putih', 'lesgoooooo']"
 curiga ptha masuk kabinet,negatif,5,"['curiga', 'ptha', 'masuk', 'kabinet']"
kelakar betul sebab dr sam yg aku rasa one of a potential leader takde dalam kabinet bayangan gelap pn,netral,19,"['kelakar', 'sam', 'one', 'of', 'a', 'potential', 'leader', 'takde', 'kabinet', 'bayang', 'gelap', 'pn']"
kl aku dukung apa aku bakal masuk kabinet p prabowo ,negatif,11,"['kl', 'dukung', 'masuk', 'kabinet', 'p', 'prabowo']"
prabowo presiden perintahkan para menteri kabinet merah putih susun tim kerja yang baik ,positif,14,"['prabowo', 'presiden', 'perintah', 'menteri', 'kabinet', 'merah', 'putih', 'susun', 'tim', 'kerja']"
anindya bakrie nilai kabinet merah putih cerminkan keberlanjutan ,positif,9,"['anindya', 'bakrie', 'nilai', 'kabinet', 'merah', 'putih', 'cermin', 'lanjut']"
 para menteri baru dilantik sdh pada oper emting minta tambahan anggaran menyalahgunakan wewenang rame amat kabinet merah putih ini pada lucu lucu ,negatif,26,"['menteri', 'lantik', 'oper', 'emting', 'tambah', 'anggar', 'menyalahgunakan', 'wewenang', 'rame', 'kabinet', 'merah', 'putih', 'lucu', 'lucu']"
 siap kawal terus kabinet merah putih,netral,7,"['kawal', 'kabinet', 'merah', 'putih']"
 kalau kedepannya ada reshuffle kabinet harusnya menteri baru harus mengikuti pembinaan di tidar juga bagus ini untuk menanamkan semangat bela negara,positif,22,"['depan', 'reshuffle', 'kabinet', 'menteri', 'ikut', 'bina', 'tidar', 'bagus', 'tanam', 'semangat', 'bela', 'negara']"
 budaya kita korup dunia tahu itu dan sebagian besar mentri kabinet gemoy tersandera kasus korupsi,negatif,16,"['budaya', 'korup', 'dunia', 'tri', 'kabinet', 'gemoy', 'sandera', 'korupsi']"
 seharusnya kementerian hukum amp ham tetap jadi kementerian dan sudah benar imigrasi yang dipisahkan kabinet ini benar kabinet pemborosan anggaran untuk hal yang gak manfaat hanya untuk bagi jatah kekuasaan,negatif,32,"['menteri', 'hukum', 'amp', 'ham', 'menteri', 'imigrasi', 'pisah', 'kabinet', 'kabinet', 'boros', 'anggar', 'gak', 'manfaat', 'jatah', 'kuasa']"
 ada gebrakan apa nih kira kira di kabinet pak prabowo,netral,11,"['gebrak', 'kabinet', 'prabowo']"
selamat bekerja kabinet merah putih jangan kecewakan kami atas kepercayaan ini semoga sila ke lima juga bisa ditegakkan kembali ,netral,20,"['selamat', 'kabinet', 'merah', 'putih', 'kecewa', 'percaya', 'moga', 'sila', 'tegak']"
 yang mengendali kabinet merah putih bukan saya om si jokowi dan luhut,negatif,13,"['kendali', 'kabinet', 'merah', 'putih', 'om', 'jokowi', 'luhut']"
hebatsayangnya nnt pak terjebak mengurusi bgt banyak pembantu nya di kabinetsementara fufufafa mulai tancapkan pencitraan skenario nya sgt rapi pengerahan buzzerp baru di semua medsos yg propagandakan ffff ht pak prbw emosi fisik nya mmg distimulasi utk drop,negatif,40,"['hebatsayangnya', 'nnt', 'jebak', 'urus', 'bantu', 'nya', 'kabinetsementara', 'tancap', 'citra', 'skenario', 'nya', 'sgt', 'rapi', 'kerah', 'buzzerp', 'medsos', 'propaganda', 'ffff', 'ht', 'prbw', 'emosi', 'fisik', 'nya', 'mmg', 'stimulasi', 'drop']"
semoga saja tidak yh kita doakan kabinet baru ini,netral,9,"['moga', 'yh', 'doa', 'kabinet']"
thread rekap blunder kabinet ongoing untill okt yusril ihza blg gaada pelanggaran ham okt kop surat kemendes okt mentri ham minta t,negatif,23,"['thread', 'rekap', 'blunder', 'kabinet', 'ongoing', 'untill', 'okt', 'yusril', 'ihza', 'blg', 'gaada', 'langgar', 'ham', 'okt', 'kop', 'surat', 'kemendes', 'okt', 'tri', 'ham', 't']"
kalo aku masuk kabinet indonesia kira kira cocoknya dimana ya,netral,10,"['kalo', 'masuk', 'kabinet', 'indonesia', 'cocok', 'mana']"
 thanks supportnya laut nanti jadi sekretaris kabinet ya,negatif,9,"['thanks', 'supportnya', 'laut', 'sekretaris', 'kabinet']"
 gaskeun kabinet merah putih,positif,5,"['gaskeun', 'kabinet', 'merah', 'putih']"
 lebih ribet kabinet belio,negatif,5,"['ribet', 'kabinet', 'belio']"
 instansi strategi yang dipimpin orangnya jokowi masih dipakai harusnya ganti biar fress kabinet yg baru g orang gagal yg menimbulkan kegaduhan masih dipakai jadi menteri kalau bilang indonesia ini besar yang pasti generasi yang potensial juga besar di indonesia ini,negatif,41,"['instansi', 'strategi', 'pimpin', 'orang', 'jokowi', 'pakai', 'ganti', 'biar', 'fress', 'kabinet', 'g', 'orang', 'gagal', 'timbul', 'gaduh', 'pakai', 'menteri', 'bilang', 'indonesia', 'generasi', 'potensial', 'indonesia']"
kabinet pak gemoy katanya obesitas ,negatif,5,"['kabinet', 'gemoy', 'obesitas']"
prabowo larang ada proyek mercusuar di kabinet merah putih ,negatif,14,"['prabowo', 'larang', 'proyek', 'mercusuar', 'kabinet', 'merah', 'putih']"
 nice kabinet merah putih,positif,5,"['nice', 'kabinet', 'merah', 'putih']"
ini kabinet siapaa sih jadwalnya jelek bgt lebih jelek dari tahun lalu ,negatif,12,"['kabinet', 'siapaa', 'jadwal', 'jelek', 'jelek']"
 indonesia menghadapi hal hal yang berat semoga dengan adanya kabinet ini semua bisa berjalan dengan baik,negatif,17,"['indonesia', 'hadap', 'berat', 'moga', 'kabinet', 'jalan']"
rapat kabinet paripurna perdana sore tadi dipimpin langsung oleh presiden dan wapres arahan presiden begitu jelas persatuan adalah sumber keberhasilan suatu bangsa selain itu presiden juga menekankan pentingnya pengelolaan kekayaan alam untuk ,negatif,36,"['rapat', 'kabinet', 'paripurna', 'perdana', 'sore', 'pimpin', 'langsung', 'presiden', 'wapres', 'arah', 'presiden', 'satu', 'sumber', 'hasil', 'bangsa', 'presiden', 'tekan', 'kelola', 'kaya', 'alam']"
presiden ri prabowo subianto resmi melantik jajaran menteri kabinet merah putih di istana negara jakarta pada lalu dari menteri yang ,netral,23,"['presiden', 'prabowo', 'subianto', 'resmi', 'lantik', 'jajar', 'menteri', 'kabinet', 'merah', 'putih', 'istana', 'negara', 'jakarta', 'menteri']"
 kalau didu masuk kabinet termasuk kategori yg mana apakah juru omon omon,negatif,13,"['didu', 'masuk', 'kabinet', 'kategori', 'juru', 'omon', 'omon']"
 mantap pokoknya kabinet merah putih ini,positif,7,"['mantap', 'pokok', 'kabinet', 'merah', 'putih']"
diawal masa kerja kehebohan anggota kabinet minta anggaran t satu lagi urusan pribadi pake kop surat dinashe he,negatif,20,"['awal', 'kerja', 'heboh', 'anggota', 'kabinet', 'anggar', 't', 'urus', 'pribadi', 'kop', 'surat', 'dinashe', 'he']"
jirlah mending kabinet lius bong ke manamana,negatif,7,"['jir', 'mending', 'kabinet', 'lius', 'bong', 'manamana']"
 gua mau daftarin dia jd anggota kabinet wowo biarin,negatif,11,"['daftarin', 'anggota', 'kabinet', 'wowo', 'biarin']"
 anggota kabinet bukan tapi banyak omong,negatif,7,"['anggota', 'kabinet', 'omong']"
 apalagi tantangan ke depan semakin berat kerja kabinet harus maksimal,netral,11,"['tantang', 'berat', 'kerja', 'kabinet', 'maksimal']"
mantan menteri sekretaris kabinet itu setidaknya terdapat tiga hal yang diutamakan olehnya untuk warga jakarta ,netral,16,"['mantan', 'menteri', 'sekretaris', 'kabinet', 'utama', 'warga', 'jakarta']"
di kabinet pks mana ya,negatif,5,"['kabinet', 'pks']"
sore ini rabu saya mengikuti sidang kabinet paripurna yang dipimpin presiden ri prabowo subianto dan wapres ri gibran rakabuming raka di istana negara jakarta ,netral,26,"['sore', 'rabu', 'ikut', 'sidang', 'kabinet', 'paripurna', 'pimpin', 'presiden', 'prabowo', 'subianto', 'wapres', 'gibran', 'rakabuming', 'raka', 'istana', 'negara', 'jakarta']"
besok kabinet merah putih bikin gebrakan apa lagi ya,negatif,9,"['besok', 'kabinet', 'merah', 'putih', 'bikin', 'gebrak']"
video ahy jadi nostalgia saat pembekalan kabinet di akmil magelang ,netral,12,"['video', 'ahy', 'nostalgia', 'bekal', 'kabinet', 'akmil', 'magelang']"
 kabinet penuh kkn,negatif,4,"['kabinet', 'penuh', 'kkn']"
 ya ya ya betul yang tinggal persen lagi biar bapak gibran yang selesai gak usah gadoh ada di kabinet sekarang,negatif,25,"['tinggal', 'persen', 'biar', 'gibran', 'selesai', 'gak', 'gadoh', 'kabinet']"
 saya koq yakin om wowo lupa nama menteri dan jabatannya kecuali baca saking tambunnya kabinet yuk korupsi lagi ,negatif,19,"['koq', 'om', 'wowo', 'lupa', 'nama', 'menteri', 'jabat', 'kecuali', 'baca', 'saking', 'tambun', 'kabinet', 'yuk', 'korupsi']"
 kan sudah di info dasco punya peran penting dalam penyusunan kabinet buncit termasuk hasim ,negatif,15,"['info', 'dasco', 'peran', 'susun', 'kabinet', 'buncit', 'hasim']"
 kok bs,negatif,3,[]
cak imin sebut tak ada pembahasan ikn di rapat perdana kabinet prabowo enggak dilanjutkan ,positif,15,"['cak', 'imin', 'bahas', 'ikn', 'rapat', 'perdana', 'kabinet', 'prabowo', 'lanjut']"
kabinet saling sandra kayak gini biasanya gak bertahan lama ya gak sih ,negatif,13,"['kabinet', 'sandra', 'kayak', 'gak', 'tahan', 'gak']"
ikut rapat kabinet perdana kel hahaha oke mau se hectic apapun itu harus tetep jaga kondisi yes btw cantiqnya kebangetan sampe bikin si ga mampu berkatakata ,netral,29,"['rapat', 'kabinet', 'perdana', 'kel', 'hahaha', 'oke', 'hectic', 'apa', 'tetep', 'jaga', 'kondisi', 'yes', 'btw', 'cantiqnya', 'banget', 'sampe', 'bikin', 'berkatakata']"
 komposisi kabinet saya rasa sudah pas begini sihh,positif,9,"['komposisi', 'kabinet', 'pas', 'sihh']"
 menyampaikan perintah presiden ri pak prabowo subianto pertama presiden pak prabowo menyampaikan terimakasih karena sudah mau beliau di kabinet merah putih kedua meminta agar pekerja yg ada di luar negeri tidak di eksploitasi ,positif,36,"['perintah', 'presiden', 'prabowo', 'subianto', 'presiden', 'prabowo', 'terimakasih', 'beliau', 'kabinet', 'merah', 'putih', 'kerja', 'negeri', 'eksploitasi']"
