Tweet,Sentimen,Tweet Length,Tokens,Label_Encoded
 hari blunder kabinet merah putih lesgoooooo ,-1,9,"['blunder', 'kabinet', 'merah', 'putih', 'lesgoooooo']",0
 curiga ptha masuk kabinet,-1,5,"['curiga', 'ptha', 'masuk', 'kabinet']",0
kelakar betul sebab dr sam yg aku rasa one of a potential leader takde dalam kabinet bayangan gelap pn,0,19,"['kelakar', 'sam', 'one', 'of', 'a', 'potential', 'leader', 'takde', 'kabinet', 'bayang', 'gelap', 'pn']",1
kl aku dukung apa aku bakal masuk kabinet p prabowo ,-1,11,"['kl', 'dukung', 'masuk', 'kabinet', 'prabowo']",0
prabowo presiden perintahkan para menteri kabinet merah putih susun tim kerja yang baik ,1,14,"['prabowo', 'presiden', 'perintah', 'menteri', 'kabinet', 'merah', 'putih', 'susun', 'tim', 'kerja']",2
anindya bakrie nilai kabinet merah putih cerminkan keberlanjutan ,1,9,"['anindya', 'bakrie', 'nilai', 'kabinet', 'merah', 'putih', 'cermin', 'lanjut']",2
 para menteri baru dilantik sdh pada oper emting minta tambahan anggaran menyalahgunakan wewenang rame amat kabinet merah putih ini pada lucu lucu ,-1,26,"['menteri', 'lantik', 'oper', 'emting', 'tambah', 'anggar', 'menyalahgunakan', 'wewenang', 'rame', 'kabinet', 'merah', 'putih', 'lucu', 'lucu']",0
 siap kawal terus kabinet merah putih,0,7,"['kawal', 'kabinet', 'merah', 'putih']",1
 kalau kedepannya ada reshuffle kabinet harusnya menteri baru harus mengikuti pembinaan di tidar juga bagus ini untuk menanamkan semangat bela negara,1,22,"['depan', 'reshuffle', 'kabinet', 'menteri', 'ikut', 'bina', 'tidar', 'bagus', 'tanam', 'semangat', 'bela', 'negara']",2
 budaya kita korup dunia tahu itu dan sebagian besar mentri kabinet gemoy tersandera kasus korupsi,-1,16,"['budaya', 'korup', 'dunia', 'tri', 'kabinet', 'gemoy', 'sandera', 'korupsi']",0
 seharusnya kementerian hukum amp ham tetap jadi kementerian dan sudah benar imigrasi yang dipisahkan kabinet ini benar kabinet pemborosan anggaran untuk hal yang gak manfaat hanya untuk bagi jatah kekuasaan,-1,32,"['menteri', 'hukum', 'amp', 'ham', 'menteri', 'imigrasi', 'pisah', 'kabinet', 'kabinet', 'boros', 'anggar', 'gak', 'manfaat', 'jatah', 'kuasa']",0
 ada gebrakan apa nih kira kira di kabinet pak prabowo,0,11,"['gebrak', 'kabinet', 'prabowo']",1
selamat bekerja kabinet merah putih jangan kecewakan kami atas kepercayaan ini semoga sila ke lima juga bisa ditegakkan kembali ,0,20,"['selamat', 'kabinet', 'merah', 'putih', 'kecewa', 'percaya', 'moga', 'sila', 'tegak']",1
 yang mengendali kabinet merah putih bukan saya om si jokowi dan luhut,-1,13,"['kendali', 'kabinet', 'merah', 'putih', 'om', 'jokowi', 'luhut']",0
hebatsayangnya nnt pak terjebak mengurusi bgt banyak pembantu nya di kabinetsementara fufufafa mulai tancapkan pencitraan skenario nya sgt rapi pengerahan buzzerp baru di semua medsos yg propagandakan ffff ht pak prbw emosi fisik nya mmg distimulasi utk drop,-1,40,"['hebatsayangnya', 'nnt', 'jebak', 'urus', 'bantu', 'nya', 'kabinetsementara', 'tancap', 'citra', 'skenario', 'nya', 'sgt', 'rapi', 'kerah', 'buzzerp', 'medsos', 'propaganda', 'ffff', 'ht', 'prbw', 'emosi', 'fisik', 'nya', 'mmg', 'stimulasi', 'drop']",0
semoga saja tidak yh kita doakan kabinet baru ini,0,9,"['moga', 'yh', 'doa', 'kabinet']",1
thread rekap blunder kabinet ongoing untill okt yusril ihza blg gaada pelanggaran ham okt kop surat kemendes okt mentri ham minta t,-1,23,"['thread', 'rekap', 'blunder', 'kabinet', 'ongoing', 'untill', 'okt', 'yusril', 'ihza', 'blg', 'gaada', 'langgar', 'ham', 'okt', 'kop', 'surat', 'kemendes', 'okt', 'tri', 'ham', 't']",0
kalo aku masuk kabinet indonesia kira kira cocoknya dimana ya,0,10,"['kalo', 'masuk', 'kabinet', 'indonesia', 'cocok', 'mana']",1
 thanks supportnya laut nanti jadi sekretaris kabinet ya,-1,9,"['thanks', 'supportnya', 'laut', 'sekretaris', 'kabinet']",0
 gaskeun kabinet merah putih,1,5,"['gaskeun', 'kabinet', 'merah', 'putih']",2
 lebih ribet kabinet belio,-1,5,"['ribet', 'kabinet', 'belio']",0
 instansi strategi yang dipimpin orangnya jokowi masih dipakai harusnya ganti biar fress kabinet yg baru g orang gagal yg menimbulkan kegaduhan masih dipakai jadi menteri kalau bilang indonesia ini besar yang pasti generasi yang potensial juga besar di indonesia ini,-1,41,"['instansi', 'strategi', 'pimpin', 'orang', 'jokowi', 'pakai', 'ganti', 'biar', 'fress', 'kabinet', 'g', 'orang', 'gagal', 'timbul', 'gaduh', 'pakai', 'menteri', 'bilang', 'indonesia', 'generasi', 'potensial', 'indonesia']",0
kabinet pak gemoy katanya obesitas ,-1,5,"['kabinet', 'gemoy', 'obesitas']",0
prabowo larang ada proyek mercusuar di kabinet merah putih ,-1,14,"['prabowo', 'larang', 'proyek', 'mercusuar', 'kabinet', 'merah', 'putih']",0
 nice kabinet merah putih,1,5,"['nice', 'kabinet', 'merah', 'putih']",2
ini kabinet siapaa sih jadwalnya jelek bgt lebih jelek dari tahun lalu ,-1,12,"['kabinet', 'siapaa', 'jadwal', 'jelek', 'jelek']",0
 indonesia menghadapi hal hal yang berat semoga dengan adanya kabinet ini semua bisa berjalan dengan baik,-1,17,"['indonesia', 'hadap', 'berat', 'moga', 'kabinet', 'jalan']",0
rapat kabinet paripurna perdana sore tadi dipimpin langsung oleh presiden dan wapres arahan presiden begitu jelas persatuan adalah sumber keberhasilan suatu bangsa selain itu presiden juga menekankan pentingnya pengelolaan kekayaan alam untuk ,-1,36,"['rapat', 'kabinet', 'paripurna', 'perdana', 'sore', 'pimpin', 'langsung', 'presiden', 'wapres', 'arah', 'presiden', 'satu', 'sumber', 'hasil', 'bangsa', 'presiden', 'tekan', 'kelola', 'kaya', 'alam']",0
presiden ri prabowo subianto resmi melantik jajaran menteri kabinet merah putih di istana negara jakarta pada lalu dari menteri yang ,0,23,"['presiden', 'prabowo', 'subianto', 'resmi', 'lantik', 'jajar', 'menteri', 'kabinet', 'merah', 'putih', 'istana', 'negara', 'jakarta', 'menteri']",1
 kalau didu masuk kabinet termasuk kategori yg mana apakah juru omon omon,-1,13,"['didu', 'masuk', 'kabinet', 'kategori', 'juru', 'omon', 'omon']",0
 mantap pokoknya kabinet merah putih ini,1,7,"['mantap', 'pokok', 'kabinet', 'merah', 'putih']",2
diawal masa kerja kehebohan anggota kabinet minta anggaran t satu lagi urusan pribadi pake kop surat dinashe he,-1,20,"['awal', 'kerja', 'heboh', 'anggota', 'kabinet', 'anggar', 't', 'urus', 'pribadi', 'kop', 'surat', 'dinashe', 'he']",0
jirlah mending kabinet lius bong ke manamana,-1,7,"['jir', 'mending', 'kabinet', 'lius', 'bong', 'manamana']",0
 gua mau daftarin dia jd anggota kabinet wowo biarin,-1,11,"['daftarin', 'anggota', 'kabinet', 'wowo', 'biarin']",0
 anggota kabinet bukan tapi banyak omong,-1,7,"['anggota', 'kabinet', 'omong']",0
 apalagi tantangan ke depan semakin berat kerja kabinet harus maksimal,0,11,"['tantang', 'berat', 'kerja', 'kabinet', 'maksimal']",1
mantan menteri sekretaris kabinet itu setidaknya terdapat tiga hal yang diutamakan olehnya untuk warga jakarta ,0,16,"['mantan', 'menteri', 'sekretaris', 'kabinet', 'utama', 'warga', 'jakarta']",1
di kabinet pks mana ya,-1,5,"['kabinet', 'pks']",0
sore ini rabu saya mengikuti sidang kabinet paripurna yang dipimpin presiden ri prabowo subianto dan wapres ri gibran rakabuming raka di istana negara jakarta ,0,26,"['sore', 'rabu', 'ikut', 'sidang', 'kabinet', 'paripurna', 'pimpin', 'presiden', 'prabowo', 'subianto', 'wapres', 'gibran', 'rakabuming', 'raka', 'istana', 'negara', 'jakarta']",1
besok kabinet merah putih bikin gebrakan apa lagi ya,-1,9,"['besok', 'kabinet', 'merah', 'putih', 'bikin', 'gebrak']",0
video ahy jadi nostalgia saat pembekalan kabinet di akmil magelang ,0,12,"['video', 'ahy', 'nostalgia', 'bekal', 'kabinet', 'akmil', 'magelang']",1
 kabinet penuh kkn,-1,4,"['kabinet', 'penuh', 'kkn']",0
 ya ya ya betul yang tinggal persen lagi biar bapak gibran yang selesai gak usah gadoh ada di kabinet sekarang,-1,25,"['tinggal', 'persen', 'biar', 'gibran', 'selesai', 'gak', 'gadoh', 'kabinet']",0
 saya koq yakin om wowo lupa nama menteri dan jabatannya kecuali baca saking tambunnya kabinet yuk korupsi lagi ,-1,19,"['koq', 'om', 'wowo', 'lupa', 'nama', 'menteri', 'jabat', 'kecuali', 'baca', 'saking', 'tambun', 'kabinet', 'yuk', 'korupsi']",0
 kan sudah di info dasco punya peran penting dalam penyusunan kabinet buncit termasuk hasim ,-1,15,"['info', 'dasco', 'peran', 'susun', 'kabinet', 'buncit', 'hasim']",0
 kok bs,-1,3,[],0
cak imin sebut tak ada pembahasan ikn di rapat perdana kabinet prabowo enggak dilanjutkan ,1,15,"['cak', 'imin', 'bahas', 'ikn', 'rapat', 'perdana', 'kabinet', 'prabowo', 'lanjut']",2
kabinet saling sandra kayak gini biasanya gak bertahan lama ya gak sih ,-1,13,"['kabinet', 'sandra', 'kayak', 'gak', 'tahan', 'gak']",0
ikut rapat kabinet perdana kel hahaha oke mau se hectic apapun itu harus tetep jaga kondisi yes btw cantiqnya kebangetan sampe bikin si ga mampu berkatakata ,0,29,"['rapat', 'kabinet', 'perdana', 'kel', 'hahaha', 'oke', 'hectic', 'apa', 'tetep', 'jaga', 'kondisi', 'yes', 'btw', 'cantiqnya', 'banget', 'sampe', 'bikin', 'berkatakata']",1
 komposisi kabinet saya rasa sudah pas begini sihh,1,9,"['komposisi', 'kabinet', 'pas', 'sihh']",2
 menyampaikan perintah presiden ri pak prabowo subianto pertama presiden pak prabowo menyampaikan terimakasih karena sudah mau beliau di kabinet merah putih kedua meminta agar pekerja yg ada di luar negeri tidak di eksploitasi ,1,36,"['perintah', 'presiden', 'prabowo', 'subianto', 'presiden', 'prabowo', 'terimakasih', 'beliau', 'kabinet', 'merah', 'putih', 'kerja', 'negeri', 'eksploitasi']",2
 kabinet yg dibentuk berantakan kalian dan anies yg cara pikirnya berantakan,-1,12,"['kabinet', 'bentuk', 'beranta', 'anies', 'pikir', 'beranta']",0
camarda baru nobita t traveling vini menteri pecat polisi kabinet merah putih suswono wagub warteg ui luruskan hoaks ,-1,27,"['camarda', 'nobita', 't', 'traveling', 'vini', 'menteri', 'pecat', 'polisi', 'kabinet', 'merah', 'putih', 'suswono', 'wagub', 'warteg', 'ui', 'lurus', 'hoaks']",0
maaf banget baru ngeh sama keseluruhan struktur kabinet merah putihnya pak wowo sad banget bu retno udh gajadi menlu but i ll be always respect for her and team because their action when walk out from rapat pbb for stand palestine waktu itu,-1,43,"['maaf', 'banget', 'ngeh', 'struktur', 'kabinet', 'merah', 'putih', 'wowo', 'sad', 'banget', 'bu', 'retno', 'gajadi', 'menlu', 'but', 'i', 'll', 'be', 'always', 'respect', 'for', 'her', 'and', 'team', 'because', 'their', 'action', 'when', 'walk', 'out', 'from', 'rapat', 'pbb', 'for', 'stand', 'palestine']",0
rapat kabinet menteri pororo nanti lokasinya akan menyewa ballroom gedung yg biasa dipakai buat pesta resepsi pernikahan biar muat ceunah info a ,-1,22,"['rapat', 'kabinet', 'menteri', 'pororo', 'lokasi', 'sewa', 'ballroom', 'gedung', 'pakai', 'pesta', 'resepsi', 'nikah', 'biar', 'muat', 'ceunah', 'info', 'a']",0
 bapak bikin kabinet gendut juga jd beban apbn dan masyarakat lo pak,-1,13,"['bikin', 'kabinet', 'gendut', 'beban', 'apbn', 'masyarakat', 'lo']",0
pimpin sidang kabinet paripurna perdana presiden tekankan pentingnya persatuan nasional dan kedaulatan bangsa serta akan ada pembekalan menteri di magelang jawa tengah ,1,24,"['pimpin', 'sidang', 'kabinet', 'paripurna', 'perdana', 'presiden', 'tekan', 'satu', 'nasional', 'daulat', 'bangsa', 'bekal', 'menteri', 'magelang', 'jawa']",2
 dlm rpt kabinet td ada ksh pertanyaan ga sm fufufafa cak ,-1,12,"['rpt', 'kabinet', 'td', 'ksh', 'sm', 'cak']",0
 gak bisa ndut duit gue ngepas buat bayar pajak ndut kan kabinet lu gendut ndut,-1,16,"['gak', 'ndut', 'duit', 'ngepas', 'bayar', 'pajak', 'ndut', 'kabinet', 'gendut', 'ndut']",0
rapat perdana kabinet merah putih prabowo minta menteri bekerja seperti total football ,0,14,"['rapat', 'perdana', 'kabinet', 'merah', 'putih', 'prabowo', 'menteri', 'total', 'football']",1
komandan tkn fanta arief rosyid hasan apresiasi prabowo sebagai negarawan sejati yang libatkan generasi muda dalam kabinet merah putih ,1,20,"['komandan', 'tkn', 'fanta', 'arief', 'rosyid', 'hasan', 'apresiasi', 'prabowo', 'negarawan', 'sejati', 'libat', 'generasi', 'muda', 'kabinet', 'merah', 'putih']",2
prabowogibran bakal boyong kabinet merah putih ke akmil magelang selama hari ,0,13,"['prabowogibran', 'boyong', 'kabinet', 'merah', 'putih', 'akmil', 'magelang']",1
dua kata lucu kabinet gemoy ,-1,6,"['lucu', 'kabinet', 'gemoy']",0
analis politik jokowi pengendali kabinet merah putih ,-1,8,"['analis', 'politik', 'jokowi', 'kendali', 'kabinet', 'merah', 'putih']",0
sekretaris kabinet seskab mayor teddy indra wijaya memperingatkan seluruh kabinet merah putih agar berhatihati dalam menggunakan kop surat dan tanda tangan ,0,22,"['sekretaris', 'kabinet', 'seskab', 'mayor', 'teddy', 'indra', 'wijaya', 'ingat', 'kabinet', 'merah', 'putih', 'berhatihati', 'kop', 'surat', 'tanda', 'tangan']",1
prabowo subianto lantik menteri dan wakil menteri kabinet merah putih ,0,11,"['prabowo', 'subianto', 'lantik', 'menteri', 'wakil', 'menteri', 'kabinet', 'merah', 'putih']",1
 prabowo sangat ngawur di kabinet nya asal comot aja,-1,10,"['prabowo', 'ngawur', 'kabinet', 'nya', 'comot']",0
beratampterjal nasib ridwan kamil dipentas politik nasional dia icon orang sunda yg meniti karir politik dgn identitas etnis yg kental bertarung di jakarta dlm kemasan parpol yg rusak bak simalakama keresahan tdk masuk kabinet mnyurutkan kader militan u berjuang,-1,40,"['beratampterjal', 'nasib', 'ridwan', 'kamil', 'pentas', 'politik', 'nasional', 'icon', 'orang', 'sunda', 'titi', 'karir', 'politik', 'identitas', 'etnis', 'kental', 'tarung', 'jakarta', 'kemas', 'parpol', 'rusak', 'bak', 'simalakama', 'resah', 'masuk', 'kabinet', 'mnyurutkan', 'kader', 'militan', 'u', 'juang']",0
dlm politik derajat ekspektasi itu hrs dirumuskan berulang kadar kawan lawan bahkan terselubung bagai bunglon hrs jdi standar dewan syuro hasan nasbi diyakini jdi pemanas didepaknya gerbong syaiku aboe bakar dari kabinet prabowo mungkin kurang jilatan sperti babeh haikal,-1,39,"['politik', 'derajat', 'ekspektasi', 'hrs', 'rumus', 'ulang', 'kadar', 'kawan', 'lawan', 'selubung', 'bunglon', 'hrs', 'jdi', 'standar', 'dewan', 'syuro', 'hasan', 'nasbi', 'yakin', 'jdi', 'panas', 'depak', 'gerbong', 'syaiku', 'aboe', 'bakar', 'kabinet', 'prabowo', 'jilat', 'sperti', 'babeh', 'haikal']",0
ada yg kecele terbuang dari lingkaran kabinet prabowo siapa dia awalnya mmelas kini mnjadi blunder mendepak karna janji surga ini politik bung belajarlah lebih matang soal watak politik bersanding dgn mnjadi hambar kan skarang,-1,38,"['kecele', 'buang', 'lingkar', 'kabinet', 'prabowo', 'mmelas', 'mnjadi', 'blunder', 'depak', 'karna', 'janji', 'surga', 'politik', 'bajar', 'matang', 'watak', 'politik', 'sanding', 'mnjadi', 'hambar', 'skarang']",0
langkah cepat pak untuk menjalankan programprogram kerjanya beliau berharap hari pertama harus sudah tampak jelas jejakjejak kinerja kabinet merah putih apa konsekuensi bagi menteri yang tak mampu apakah ada sanksi tegas rakyat menanti hasil kerja pemerintah ,-1,39,"['langkah', 'cepat', 'jalan', 'programprogram', 'kerja', 'beliau', 'harap', 'jejakjejak', 'kerja', 'kabinet', 'merah', 'putih', 'konsekuensi', 'menteri', 'sanksi', 'rakyat', 'hasil', 'kerja', 'perintah']",0
kabinet merah putih dinilai psi jadi solusi masalah kompleks di indonesia ,0,13,"['kabinet', 'merah', 'putih', 'nilai', 'psi', 'solusi', 'kompleks', 'indonesia']",1
 kabinet gemuk,-1,3,"['kabinet', 'gemuk']",0
wapres gibran hadir di sidang kabinet paripurna perdana di bawah presiden prabowo fokus pada hilirisasi swasembada pangan dan program makan bergizi ,0,22,"['wapres', 'gibran', 'hadir', 'sidang', 'kabinet', 'paripurna', 'perdana', 'presiden', 'prabowo', 'fokus', 'hilir', 'swasembada', 'pangan', 'program', 'makan', 'gizi']",1
 entah kenapa masih menyangsikan dengan kabinet yg baru ini sdh kabinet gemuk dan terkesan bagi bagi jabatan beban apbn juga makin tinggi diisi pula sama orang yg blunder trs kerjaannya semoga tahun kedepan kita semua perekonomiannya membaik dan gak perlu cemas,-1,43,"['sangsi', 'kabinet', 'kabinet', 'gemuk', 'kes', 'jabat', 'beban', 'apbn', 'isi', 'orang', 'blunder', 'trs', 'kerja', 'moga', 'depan', 'ekonomi', 'baik', 'gak', 'cemas']",0
 mentri yang paling guwa suka di kabinet jokowi hanya bu retno saja,-1,13,"['tri', 'guwa', 'suka', 'kabinet', 'jokowi', 'bu', 'retno']",0
 menegaskan kembali bahwa kabinet ini harus segera bekerja dengan baik dibutuhkan kekompakan termasuk juga dalam menyelesaikan permasalahan di lapangan sesuai dengan bidang dan domain masingmasing,1,26,"['kabinet', 'butuh', 'kompak', 'selesai', 'masalah', 'lapang', 'sesuai', 'bidang', 'domain', 'masingmasing']",2
presiden pimpin rapat kabinet merah putih langsung tegesin gak kerja dgn bener copot nah pembantu mulyono byk nih di kabinet tinggal lihat bs patuh dan ikut arahan apa nggak kalo nggak ya copot reputasi terbaik mrk hancur seketika bukti presiden skr yg pegang kendali,-1,44,"['presiden', 'pimpin', 'rapat', 'kabinet', 'merah', 'putih', 'langsung', 'tegesin', 'gak', 'kerja', 'bener', 'copot', 'bantu', 'mulyono', 'byk', 'kabinet', 'tinggal', 'lihat', 'patuh', 'arah', 'kalo', 'copot', 'reputasi', 'baik', 'mrk', 'hancur', 'bukti', 'presiden', 'skr', 'pegang', 'kendali']",0
 preketek selama masih ada mentri periode lalu yg terbukti menyengsarakan rakyat di kabinet sekarang gak akan percaya,-1,18,"['preketek', 'tri', 'periode', 'bukti', 'sengsara', 'rakyat', 'kabinet', 'gak', 'percaya']",0
selamat bertugas untuk bapak budi santoso selalu menteri perdagangan republik indonesia dalam kabinet merah putih di bawah kepemerintahan presiden republik indonesia bapak prabowo subianto salam dari pulau formosa ,0,29,"['selamat', 'tugas', 'santoso', 'menteri', 'dagang', 'republik', 'indonesia', 'kabinet', 'merah', 'putih', 'perintah', 'presiden', 'republik', 'indonesia', 'prabowo', 'subianto', 'salam', 'pulau', 'formosa']",1
 kabinet baru berusia hari anda sudah bisa meramalkannya seakan akan kapten mulyono lebih hebat dari tony stark bro didu presiden tidak sebodoh yang anda kira seakan akan presiden dibawah perintah mantan presidenbiarkanlah mereka bermain civil war seperti avengers,-1,41,"['kabinet', 'usia', 'ramal', 'akan', 'kapten', 'mulyono', 'hebat', 'tony', 'stark', 'bro', 'didu', 'presiden', 'bodoh', 'akan', 'presiden', 'bawah', 'perintah', 'mantan', 'presidenbiarkanlah', 'main', 'civil', 'war', 'avengers']",0
blom hari ni anggota kabinet banyak yg absurd ya,-1,10,"['blom', 'anggota', 'kabinet', 'absurd']",0
 jangan senang dulu opung bisa jadi itu test bagi kabinet gemuk,-1,12,"['senang', 'opung', 'test', 'kabinet', 'gemuk']",0
prabowo subianto tekankan persatuan elit politik dan pengelolaan kekayaan bangsa di sidang kabinet perdana ,0,15,"['prabowo', 'subianto', 'tekan', 'satu', 'elit', 'politik', 'kelola', 'kaya', 'bangsa', 'sidang', 'kabinet', 'perdana']",1
 makanya kabinet gemuk biar asisten nya yg kerja yg jawab yg bikin laporan dll termasuk yg di salah in ,-1,21,"['kabinet', 'gemuk', 'biar', 'asisten', 'nya', 'kerja', 'bikin', 'lapor', 'salah', 'in']",0
kalau kita liat susunan kabinet mentri hanya hitungan jari perempuan terpampang wajahwajah gagah saja kemana para perempuannya,-1,17,"['susun', 'kabinet', 'tri', 'hitung', 'jari', 'perempuan', 'pampang', 'wajahwajah', 'gagah', 'mana', 'perempuan']",0
terlihat wibawanya wajah bocil dalam sidang kabinet tatapan matanya tajam seperti mata elang ngikik malam ,-1,16,"['wibawa', 'wajah', 'bocil', 'sidang', 'kabinet', 'tatap', 'mata', 'tajam', 'mata', 'elang', 'ngikik', 'malam']",0
prabowo di sidang kabinet tidak ada di antara kita yang punya tongkat nabi sulaiman ,0,15,"['prabowo', 'sidang', 'kabinet', 'tongkat', 'nabi', 'sulaiman']",1
 nama kabinet merah putih dimaksud menggambarkan kabinet berjiwa nasionalis berisi menteri kepala badan wakil menteri jumlah menteri dan wakil menteri terlalu banyak mungkin lebih cocok pakai nama kabinet padat karyawan ,-1,49,"['nama', 'kabinet', 'merah', 'putih', 'gambar', 'kabinet', 'jiwa', 'nasionalis', 'isi', 'menteri', 'kepala', 'badan', 'wakil', 'menteri', 'menteri', 'wakil', 'menteri', 'cocok', 'pakai', 'nama', 'kabinet', 'padat', 'karyawan']",0
 tadi sempat tayang sampai waktu gol tapi habis itu langsung menghilang,0,14,"['tayang', 'gol', 'habis', 'langsung', 'hilang']",1
lho tadi di rapat kabinet bilang harus efisien tidak boleh rapat ini itu seminar ini itu lha ini,-1,18,"['lho', 'rapat', 'kabinet', 'bilang', 'efisien', 'rapat', 'seminar', 'lha']",0
anggota kabinet yg bikin gaduh mulaik keliatan dan unjuk ketangkasan berkata kata,-1,12,"['anggota', 'kabinet', 'bikin', 'gaduh', 'mulaik', 'liat', 'unjuk', 'tangkas']",0
 belum sidang kabinet tapi udah kesana kemari seolah seperti presiden apa mau menunjukkan kalau beliau merasa lebih baik dari maruf amin,-1,22,"['sidang', 'kabinet', 'udah', 'kesana', 'kemari', 'presiden', 'beliau', 'maruf', 'amin']",0
kirain guanlin jadi anggota kabinet merah putih ,0,8,"['kirain', 'guanlin', 'anggota', 'kabinet', 'merah', 'putih']",1
tanggapi kabinet gemoy adik prabowo jika bulan pertama kurang berdaya akan dievaluasi ,-1,14,"['tanggap', 'kabinet', 'gemoy', 'adik', 'prabowo', 'daya', 'evaluasi']",0
program hilirisasi kabinet merah putih prabowogibran ekonom sebut sektorsektor ini bisa jadi fokus awal ekonom dari pusat ekonomi makro dan keuangan brin menyarankan pemerintah kabinet merah putih prabowogibran agar berfokus dalam hilirisasi dalam ,0,35,"['program', 'hilir', 'kabinet', 'merah', 'putih', 'prabowogibran', 'ekonom', 'sektorsektor', 'fokus', 'ekonom', 'pusat', 'ekonomi', 'makro', 'uang', 'brin', 'saran', 'perintah', 'kabinet', 'merah', 'putih', 'prabowogibran', 'fokus', 'hilir']",1
presiden prabowo ungkap alasan pembekalan menteri kabinet diadakan di akmil magelang ,0,13,"['presiden', 'prabowo', 'alas', 'bekal', 'menteri', 'kabinet', 'ada', 'akmil', 'magelang']",1
sandal slop glossy ala korea shopee presiden prabowo kabinet merah putih malam taro pigai hitthefloor t jirayut doraemon baru madrid rabu ,0,27,"['sandal', 'slop', 'glossy', 'korea', 'shopee', 'presiden', 'prabowo', 'kabinet', 'merah', 'putih', 'malam', 'taro', 'pigai', 'hitthefloor', 't', 'jirayut', 'doraemon', 'madrid', 'rabu']",1
 mencermati kabinet bentukan prabowo tepat kata soe hik gie prabowo itu terlalu naif lugu kekanak xan dan terlalu polos orang dgn sifat naif sering kali begitu percaya kpd orang di sekitarnya akan jatuh krn kenaifannya ,-1,37,"['cermat', 'kabinet', 'bentuk', 'prabowo', 'soe', 'hik', 'gie', 'prabowo', 'naif', 'lugu', 'kekanak', 'xan', 'polos', 'orang', 'sifat', 'naif', 'kali', 'percaya', 'kpd', 'orang', 'jatuh', 'naif']",0
video menteri dan wamen kabinet tembus orang gaji melambung ,-1,12,"['video', 'menteri', 'wamen', 'kabinet', 'tembus', 'orang', 'gaji', 'lambung']",0
 tidak perlu koar tapi tiba ada dalam kabinet,-1,9,"['koar', 'kabinet']",0
presiden prabowo subianto mengingatkan jajaran menteri di kabinet merah putih tidak mementingkan urusan pribadi dalam menjalankan tugas ,0,18,"['presiden', 'prabowo', 'subianto', 'jajar', 'menteri', 'kabinet', 'merah', 'putih', 'penting', 'urus', 'pribadi', 'jalan', 'tugas']",1
said didu kabinet merah putih dikendalikan jokowi bukan prabowo ,-1,10,"['said', 'didu', 'kabinet', 'merah', 'putih', 'kendali', 'jokowi', 'prabowo']",0
takut lihat kenyataan kenyataan kabinet baru ,-1,6,"['takut', 'lihat', 'nyata', 'nyata', 'kabinet']",0
 maksudnya dibalik luar dalam bukan atas bawah ,0,10,"['maksud', 'balik']",1
sidang kabinet paripurna yang pertama kabinet merah putih ,0,10,"['sidang', 'kabinet', 'paripurna', 'kabinet', 'merah', 'putih']",1
galaknya sih dapet ya tapi birokrasi seefisien apa yang bapak harapkan dari kabinet berisi kepala ,-1,16,"['galak', 'dapet', 'birokrasi', 'efisien', 'harap', 'kabinet', 'isi', 'kepala']",0
 cocok masuk dalam kabinet para penyamun,-1,9,"['cocok', 'masuk', 'kabinet', 'samun']",0
refly harun soal kabinet era jokowi periode pertama lebih baik dari prabowo ,-1,13,"['refly', 'harun', 'kabinet', 'era', 'jokowi', 'periode', 'prabowo']",0
 kemenag saat ini yg tersuram dari suramnya isi kabinet,-1,10,"['kemenag', 'suram', 'suram', 'isi', 'kabinet']",0
 sebaliknya masa jabatan eksekutif yang tahun per periode perlu ditambah selama ini tahun pertama habis utk konsolidasi kabinet dan bulan terakhir habis utk tahun politik praktis masa kerja pemerintah hanya tersisa tahun periode,-1,38,"['jabat', 'eksekutif', 'periode', 'tambah', 'habis', 'konsolidasi', 'kabinet', 'habis', 'politik', 'praktis', 'kerja', 'perintah', 'sisa', 'periode']",0
 sependapat mari kita lihat hari pertama kabinet prabowo mulyono fufufafa cari kerjanya tinggal hari lagi buat evaluasi dan nilai dibawah kah,-1,25,"['dapat', 'mari', 'lihat', 'kabinet', 'prabowo', 'mulyono', 'cari', 'kerja', 'tinggal', 'evaluasi', 'nilai', 'bawah', 'kah']",0
 ini menteri baiknya di pecat aja pak akan jadi parasit di kabinet ,-1,15,"['menteri', 'baik', 'pecat', 'parasit', 'kabinet']",0
 saat pidato ke negaraan di pelantikan saya percaya dgn beliau dalam mengelola negara tapi setelah melihat menteri kabinet nya langsung pupus harap saya terhadap beliau dari ,-1,31,"['pidato', 'negara', 'lantik', 'percaya', 'beliau', 'kelola', 'negara', 'menteri', 'kabinet', 'nya', 'langsung', 'pupus', 'harap', 'beliau']",0
 om ndons bilangin ke pak gemoy libas aja tuch orang si mulyono di kabinet parasit mrk tuch berani gak pak gemoy,-1,32,"['om', 'ndons', 'bilangin', 'gemoy', 'libas', 'tuch', 'orang', 'mulyono', 'kabinet', 'parasit', 'mrk', 'tuch', 'berani', 'gak', 'gemoy']",0
prabowo ingatkan jajaran kabinet merah putih dukung penuh program makan bergizi ,0,12,"['prabowo', 'ingat', 'jajar', 'kabinet', 'merah', 'putih', 'dukung', 'penuh', 'program', 'makan', 'gizi']",1
