Tweet,Sentimen,Tweet Length,Tokens
 kabinet liar,negatif,4,"['kabinet', 'liar']"
sekarang kita bisa tahu apa yg disampaikan presiden dalam rapat kabinet terima kasih dan sukses selalu,positif,16,"['sekarang', 'kita', 'bisa', 'tahu', 'apa', 'yg', 'disampaikan', 'presiden', 'dalam', 'rapat', 'kabinet', 'terima', 'kasih', 'dan', 'sukses', 'selalu']"
nilai tukar rupiah anjlok usai pelantikan menteri prabowo analis sebut karena kabinet gemuk ,negatif,15,"['nilai', 'tukar', 'rupiah', 'anjlok', 'usai', 'pelantikan', 'menteri', 'prabowo', 'analis', 'sebut', 'karena', 'kabinet', 'gemuk']"
 anjir lengah dikit tiba jd mentri kabinet merah putih,negatif,10,"['anjir', 'lengah', 'dikit', 'tiba', 'jd', 'mentri', 'kabinet', 'merah', 'putih']"
kabinet gemuk dikhawatirkan hambat koordinasi antarkementerian ,negatif,7,"['kabinet', 'gemuk', 'dikhawatirkan', 'hambat', 'koordinasi', 'antarkementerian']"
prabowo pimpin sidang perdana kabinet merah putih ,netral,9,"['prabowo', 'pimpin', 'sidang', 'perdana', 'kabinet', 'merah', 'putih']"
 sidang kabinet perdana aja baru tadi udah nge gas duluan,negatif,11,"['sidang', 'kabinet', 'perdana', 'aja', 'baru', 'tadi', 'udah', 'nge', 'gas', 'duluan']"
 menteri koperasi budi arie setiadi menyampaikan bahwa sekretaris kabinet seskab mayor teddy indra wijaya telah mengingatkan seluruh menteri di kabinet merah putih untuk lebih berhatihati dalam penggunaan kop surat kementerian dan tanda tangan menteri,netral,35,"['menteri', 'koperasi', 'budi', 'arie', 'setiadi', 'menyampaikan', 'bahwa', 'sekretaris', 'kabinet', 'seskab', 'mayor', 'teddy', 'indra', 'wijaya', 'telah', 'mengingatkan', 'seluruh', 'menteri', 'di', 'kabinet', 'merah', 'putih', 'untuk', 'lebih', 'berhatihati', 'dalam', 'penggunaan', 'kop', 'surat', 'kementerian', 'dan', 'tanda', 'tangan', 'menteri']"
 kabinet kerja kerja kerja pt ,netral,6,"['kabinet', 'kerja', 'kerja', 'kerja', 'pt']"
menyoal zaken kabinet dengan wibawa presiden demisoner ,negatif,9,"['menyoal', 'zaken', 'kabinet', 'dengan', 'wibawa', 'presiden', 'demisoner']"
prabowo ke kabinet merah putih seremonial sarasehan hingga ke luar negeri mohon dikurangi ,positif,14,"['prabowo', 'ke', 'kabinet', 'merah', 'putih', 'seremonial', 'sarasehan', 'hingga', 'ke', 'luar', 'negeri', 'mohon', 'dikurangi']"
full arahan presiden prabowo di sidang perdana kabinet merah putih ke menterikepala badan ,positif,15,"['full', 'arahan', 'presiden', 'prabowo', 'di', 'sidang', 'perdana', 'kabinet', 'merah', 'putih', 'ke', 'menterikepala', 'badan']"
rapat kabinet perdana ada bahas ikngk sih,negatif,7,"['rapat', 'kabinet', 'perdana', 'ada', 'bahas', 'ikngk', 'sih']"
 hari blunder kabinet merah putih lesgoooooo ,negatif,9,"['hari', 'blunder', 'kabinet', 'merah', 'putih', 'lesgoooooo']"
 curiga ptha masuk kabinet,negatif,5,"['curiga', 'ptha', 'masuk', 'kabinet']"
kelakar betul sebab dr sam yg aku rasa one of a potential leader takde dalam kabinet bayangan gelap pn,netral,19,"['kelakar', 'betul', 'sebab', 'dr', 'sam', 'yg', 'aku', 'rasa', 'one', 'of', 'a', 'potential', 'leader', 'takde', 'dalam', 'kabinet', 'bayangan', 'gelap', 'pn']"
kl aku dukung apa aku bakal masuk kabinet p prabowo ,negatif,11,"['kl', 'aku', 'dukung', 'apa', 'aku', 'bakal', 'masuk', 'kabinet', 'p', 'prabowo']"
prabowo presiden perintahkan para menteri kabinet merah putih susun tim kerja yang baik ,positif,14,"['prabowo', 'presiden', 'perintahkan', 'para', 'menteri', 'kabinet', 'merah', 'putih', 'susun', 'tim', 'kerja', 'yang', 'baik']"
anindya bakrie nilai kabinet merah putih cerminkan keberlanjutan ,positif,9,"['anindya', 'bakrie', 'nilai', 'kabinet', 'merah', 'putih', 'cerminkan', 'keberlanjutan']"
 para menteri baru dilantik sdh pada oper emting minta tambahan anggaran menyalahgunakan wewenang rame amat kabinet merah putih ini pada lucu lucu ,negatif,26,"['para', 'menteri', 'baru', 'dilantik', 'sdh', 'pada', 'oper', 'emting', 'minta', 'tambahan', 'anggaran', 'menyalahgunakan', 'wewenang', 'rame', 'amat', 'kabinet', 'merah', 'putih', 'ini', 'pada', 'lucu', 'lucu']"
 siap kawal terus kabinet merah putih,netral,7,"['siap', 'kawal', 'terus', 'kabinet', 'merah', 'putih']"
 kalau kedepannya ada reshuffle kabinet harusnya menteri baru harus mengikuti pembinaan di tidar juga bagus ini untuk menanamkan semangat bela negara,positif,22,"['kalau', 'kedepannya', 'ada', 'reshuffle', 'kabinet', 'harusnya', 'menteri', 'baru', 'harus', 'mengikuti', 'pembinaan', 'di', 'tidar', 'juga', 'bagus', 'ini', 'untuk', 'menanamkan', 'semangat', 'bela', 'negara']"
 budaya kita korup dunia tahu itu dan sebagian besar mentri kabinet gemoy tersandera kasus korupsi,negatif,16,"['budaya', 'kita', 'korup', 'dunia', 'tahu', 'itu', 'dan', 'sebagian', 'besar', 'mentri', 'kabinet', 'gemoy', 'tersandera', 'kasus', 'korupsi']"
 seharusnya kementerian hukum amp ham tetap jadi kementerian dan sudah benar imigrasi yang dipisahkan kabinet ini benar kabinet pemborosan anggaran untuk hal yang gak manfaat hanya untuk bagi jatah kekuasaan,negatif,32,"['seharusnya', 'kementerian', 'hukum', 'amp', 'ham', 'tetap', 'jadi', 'kementerian', 'dan', 'sudah', 'benar', 'imigrasi', 'yang', 'dipisahkan', 'kabinet', 'ini', 'benar', 'kabinet', 'pemborosan', 'anggaran', 'untuk', 'hal', 'yang', 'gak', 'manfaat', 'hanya', 'untuk', 'bagi', 'jatah', 'kekuasaan']"
 ada gebrakan apa nih kira kira di kabinet pak prabowo,netral,11,"['ada', 'gebrakan', 'apa', 'nih', 'kira', 'kira', 'di', 'kabinet', 'pak', 'prabowo']"
selamat bekerja kabinet merah putih jangan kecewakan kami atas kepercayaan ini semoga sila ke lima juga bisa ditegakkan kembali ,netral,20,"['selamat', 'bekerja', 'kabinet', 'merah', 'putih', 'jangan', 'kecewakan', 'kami', 'atas', 'kepercayaan', 'ini', 'semoga', 'sila', 'ke', 'lima', 'juga', 'bisa', 'ditegakkan', 'kembali']"
 yang mengendali kabinet merah putih bukan saya om si jokowi dan luhut,negatif,13,"['yang', 'mengendali', 'kabinet', 'merah', 'putih', 'bukan', 'saya', 'om', 'si', 'jokowi', 'dan', 'luhut']"
hebatsayangnya nnt pak terjebak mengurusi bgt banyak pembantu nya di kabinetsementara fufufafa mulai tancapkan pencitraan skenario nya sgt rapi pengerahan buzzerp baru di semua medsos yg propagandakan ffff ht pak prbw emosi fisik nya mmg distimulasi utk drop,negatif,40,"['hebatsayangnya', 'nnt', 'pak', 'terjebak', 'mengurusi', 'bgt', 'banyak', 'pembantu', 'nya', 'di', 'kabinetsementara', 'fufufafa', 'mulai', 'tancapkan', 'pencitraan', 'skenario', 'nya', 'sgt', 'rapi', 'pengerahan', 'buzzerp', 'baru', 'di', 'semua', 'medsos', 'yg', 'propagandakan', 'ffff', 'ht', 'pak', 'prbw', 'emosi', 'fisik', 'nya', 'mmg', 'distimulasi', 'utk', 'drop']"
semoga saja tidak yh kita doakan kabinet baru ini,netral,9,"['semoga', 'saja', 'tidak', 'yh', 'kita', 'doakan', 'kabinet', 'baru', 'ini']"
thread rekap blunder kabinet ongoing untill okt yusril ihza blg gaada pelanggaran ham okt kop surat kemendes okt mentri ham minta t,negatif,23,"['thread', 'rekap', 'blunder', 'kabinet', 'ongoing', 'untill', 'okt', 'yusril', 'ihza', 'blg', 'gaada', 'pelanggaran', 'ham', 'okt', 'kop', 'surat', 'kemendes', 'okt', 'mentri', 'ham', 'minta', 't']"
kalo aku masuk kabinet indonesia kira kira cocoknya dimana ya,netral,10,"['kalo', 'aku', 'masuk', 'kabinet', 'indonesia', 'kira', 'kira', 'cocoknya', 'dimana', 'ya']"
 thanks supportnya laut nanti jadi sekretaris kabinet ya,negatif,9,"['thanks', 'supportnya', 'laut', 'nanti', 'jadi', 'sekretaris', 'kabinet', 'ya']"
 gaskeun kabinet merah putih,positif,5,"['gaskeun', 'kabinet', 'merah', 'putih']"
 lebih ribet kabinet belio,negatif,5,"['lebih', 'ribet', 'kabinet', 'belio']"
 instansi strategi yang dipimpin orangnya jokowi masih dipakai harusnya ganti biar fress kabinet yg baru g orang gagal yg menimbulkan kegaduhan masih dipakai jadi menteri kalau bilang indonesia ini besar yang pasti generasi yang potensial juga besar di indonesia ini,negatif,41,"['instansi', 'strategi', 'yang', 'dipimpin', 'orangnya', 'jokowi', 'masih', 'dipakai', 'harusnya', 'ganti', 'biar', 'fress', 'kabinet', 'yg', 'baru', 'g', 'orang', 'gagal', 'yg', 'menimbulkan', 'kegaduhan', 'masih', 'dipakai', 'jadi', 'menteri', 'kalau', 'bilang', 'indonesia', 'ini', 'besar', 'yang', 'pasti', 'generasi', 'yang', 'potensial', 'juga', 'besar', 'di', 'indonesia', 'ini']"
kabinet pak gemoy katanya obesitas ,negatif,5,"['kabinet', 'pak', 'gemoy', 'katanya', 'obesitas']"
prabowo larang ada proyek mercusuar di kabinet merah putih ,negatif,14,"['prabowo', 'larang', 'ada', 'proyek', 'mercusuar', 'di', 'kabinet', 'merah', 'putih']"
 nice kabinet merah putih,positif,5,"['nice', 'kabinet', 'merah', 'putih']"
ini kabinet siapaa sih jadwalnya jelek bgt lebih jelek dari tahun lalu ,negatif,12,"['ini', 'kabinet', 'siapaa', 'sih', 'jadwalnya', 'jelek', 'bgt', 'lebih', 'jelek', 'dari', 'tahun', 'lalu']"
 indonesia menghadapi hal hal yang berat semoga dengan adanya kabinet ini semua bisa berjalan dengan baik,negatif,17,"['indonesia', 'menghadapi', 'hal', 'hal', 'yang', 'berat', 'semoga', 'dengan', 'adanya', 'kabinet', 'ini', 'semua', 'bisa', 'berjalan', 'dengan', 'baik']"
rapat kabinet paripurna perdana sore tadi dipimpin langsung oleh presiden dan wapres arahan presiden begitu jelas persatuan adalah sumber keberhasilan suatu bangsa selain itu presiden juga menekankan pentingnya pengelolaan kekayaan alam untuk ,negatif,36,"['rapat', 'kabinet', 'paripurna', 'perdana', 'sore', 'tadi', 'dipimpin', 'langsung', 'oleh', 'presiden', 'dan', 'wapres', 'arahan', 'presiden', 'begitu', 'jelas', 'persatuan', 'adalah', 'sumber', 'keberhasilan', 'suatu', 'bangsa', 'selain', 'itu', 'presiden', 'juga', 'menekankan', 'pentingnya', 'pengelolaan', 'kekayaan', 'alam', 'untuk']"
presiden ri prabowo subianto resmi melantik jajaran menteri kabinet merah putih di istana negara jakarta pada lalu dari menteri yang ,netral,23,"['presiden', 'ri', 'prabowo', 'subianto', 'resmi', 'melantik', 'jajaran', 'menteri', 'kabinet', 'merah', 'putih', 'di', 'istana', 'negara', 'jakarta', 'pada', 'lalu', 'dari', 'menteri', 'yang']"
 kalau didu masuk kabinet termasuk kategori yg mana apakah juru omon omon,negatif,13,"['kalau', 'didu', 'masuk', 'kabinet', 'termasuk', 'kategori', 'yg', 'mana', 'apakah', 'juru', 'omon', 'omon']"
 mantap pokoknya kabinet merah putih ini,positif,7,"['mantap', 'pokoknya', 'kabinet', 'merah', 'putih', 'ini']"
diawal masa kerja kehebohan anggota kabinet minta anggaran t satu lagi urusan pribadi pake kop surat dinashe he,negatif,20,"['diawal', 'masa', 'kerja', 'kehebohan', 'anggota', 'kabinet', 'minta', 'anggaran', 't', 'satu', 'lagi', 'urusan', 'pribadi', 'pake', 'kop', 'surat', 'dinashe', 'he']"
jirlah mending kabinet lius bong ke manamana,negatif,7,"['jirlah', 'mending', 'kabinet', 'lius', 'bong', 'ke', 'manamana']"
 gua mau daftarin dia jd anggota kabinet wowo biarin,negatif,11,"['gua', 'mau', 'daftarin', 'dia', 'jd', 'anggota', 'kabinet', 'wowo', 'biarin']"
 anggota kabinet bukan tapi banyak omong,negatif,7,"['anggota', 'kabinet', 'bukan', 'tapi', 'banyak', 'omong']"
 apalagi tantangan ke depan semakin berat kerja kabinet harus maksimal,netral,11,"['apalagi', 'tantangan', 'ke', 'depan', 'semakin', 'berat', 'kerja', 'kabinet', 'harus', 'maksimal']"
mantan menteri sekretaris kabinet itu setidaknya terdapat tiga hal yang diutamakan olehnya untuk warga jakarta ,netral,16,"['mantan', 'menteri', 'sekretaris', 'kabinet', 'itu', 'setidaknya', 'terdapat', 'tiga', 'hal', 'yang', 'diutamakan', 'olehnya', 'untuk', 'warga', 'jakarta']"
di kabinet pks mana ya,negatif,5,"['di', 'kabinet', 'pks', 'mana', 'ya']"
sore ini rabu saya mengikuti sidang kabinet paripurna yang dipimpin presiden ri prabowo subianto dan wapres ri gibran rakabuming raka di istana negara jakarta ,netral,26,"['sore', 'ini', 'rabu', 'saya', 'mengikuti', 'sidang', 'kabinet', 'paripurna', 'yang', 'dipimpin', 'presiden', 'ri', 'prabowo', 'subianto', 'dan', 'wapres', 'ri', 'gibran', 'rakabuming', 'raka', 'di', 'istana', 'negara', 'jakarta']"
besok kabinet merah putih bikin gebrakan apa lagi ya,negatif,9,"['besok', 'kabinet', 'merah', 'putih', 'bikin', 'gebrakan', 'apa', 'lagi', 'ya']"
video ahy jadi nostalgia saat pembekalan kabinet di akmil magelang ,netral,12,"['video', 'ahy', 'jadi', 'nostalgia', 'saat', 'pembekalan', 'kabinet', 'di', 'akmil', 'magelang']"
 kabinet penuh kkn,negatif,4,"['kabinet', 'penuh', 'kkn']"
 ya ya ya betul yang tinggal persen lagi biar bapak gibran yang selesai gak usah gadoh ada di kabinet sekarang,negatif,25,"['ya', 'ya', 'ya', 'betul', 'yang', 'tinggal', 'persen', 'lagi', 'biar', 'bapak', 'gibran', 'yang', 'selesai', 'gak', 'usah', 'gadoh', 'ada', 'di', 'kabinet', 'sekarang']"
 saya koq yakin om wowo lupa nama menteri dan jabatannya kecuali baca saking tambunnya kabinet yuk korupsi lagi ,negatif,19,"['saya', 'koq', 'yakin', 'om', 'wowo', 'lupa', 'nama', 'menteri', 'dan', 'jabatannya', 'kecuali', 'baca', 'saking', 'tambunnya', 'kabinet', 'yuk', 'korupsi', 'lagi']"
 kan sudah di info dasco punya peran penting dalam penyusunan kabinet buncit termasuk hasim ,negatif,15,"['kan', 'sudah', 'di', 'info', 'dasco', 'punya', 'peran', 'penting', 'dalam', 'penyusunan', 'kabinet', 'buncit', 'termasuk', 'hasim']"
 kok bs,negatif,3,"['kok', 'bs']"
cak imin sebut tak ada pembahasan ikn di rapat perdana kabinet prabowo enggak dilanjutkan ,positif,15,"['cak', 'imin', 'sebut', 'tak', 'ada', 'pembahasan', 'ikn', 'di', 'rapat', 'perdana', 'kabinet', 'prabowo', 'enggak', 'dilanjutkan']"
kabinet saling sandra kayak gini biasanya gak bertahan lama ya gak sih ,negatif,13,"['kabinet', 'saling', 'sandra', 'kayak', 'gini', 'biasanya', 'gak', 'bertahan', 'lama', 'ya', 'gak', 'sih']"
ikut rapat kabinet perdana kel hahaha oke mau se hectic apapun itu harus tetep jaga kondisi yes btw cantiqnya kebangetan sampe bikin si ga mampu berkatakata ,netral,29,"['ikut', 'rapat', 'kabinet', 'perdana', 'kel', 'hahaha', 'oke', 'mau', 'se', 'hectic', 'apapun', 'itu', 'harus', 'tetep', 'jaga', 'kondisi', 'yes', 'btw', 'cantiqnya', 'kebangetan', 'sampe', 'bikin', 'si', 'ga', 'mampu', 'berkatakata']"
 komposisi kabinet saya rasa sudah pas begini sihh,positif,9,"['komposisi', 'kabinet', 'saya', 'rasa', 'sudah', 'pas', 'begini', 'sihh']"
 menyampaikan perintah presiden ri pak prabowo subianto pertama presiden pak prabowo menyampaikan terimakasih karena sudah mau beliau di kabinet merah putih kedua meminta agar pekerja yg ada di luar negeri tidak di eksploitasi ,positif,36,"['menyampaikan', 'perintah', 'presiden', 'ri', 'pak', 'prabowo', 'subianto', 'pertama', 'presiden', 'pak', 'prabowo', 'menyampaikan', 'terimakasih', 'karena', 'sudah', 'mau', 'beliau', 'di', 'kabinet', 'merah', 'putih', 'kedua', 'meminta', 'agar', 'pekerja', 'yg', 'ada', 'di', 'luar', 'negeri', 'tidak', 'di', 'eksploitasi']"
 kabinet yg dibentuk berantakan kalian dan anies yg cara pikirnya berantakan,negatif,12,"['kabinet', 'yg', 'dibentuk', 'berantakan', 'kalian', 'dan', 'anies', 'yg', 'cara', 'pikirnya', 'berantakan']"
camarda baru nobita t traveling vini menteri pecat polisi kabinet merah putih suswono wagub warteg ui luruskan hoaks ,negatif,27,"['camarda', 'baru', 'nobita', 't', 'traveling', 'vini', 'menteri', 'pecat', 'polisi', 'kabinet', 'merah', 'putih', 'suswono', 'wagub', 'warteg', 'ui', 'luruskan', 'hoaks']"
maaf banget baru ngeh sama keseluruhan struktur kabinet merah putihnya pak wowo sad banget bu retno udh gajadi menlu but i ll be always respect for her and team because their action when walk out from rapat pbb for stand palestine waktu itu,negatif,43,"['maaf', 'banget', 'baru', 'ngeh', 'sama', 'keseluruhan', 'struktur', 'kabinet', 'merah', 'putihnya', 'pak', 'wowo', 'sad', 'banget', 'bu', 'retno', 'udh', 'gajadi', 'menlu', 'but', 'i', 'll', 'be', 'always', 'respect', 'for', 'her', 'and', 'team', 'because', 'their', 'action', 'when', 'walk', 'out', 'from', 'rapat', 'pbb', 'for', 'stand', 'palestine', 'waktu', 'itu']"
rapat kabinet menteri pororo nanti lokasinya akan menyewa ballroom gedung yg biasa dipakai buat pesta resepsi pernikahan biar muat ceunah info a ,negatif,22,"['rapat', 'kabinet', 'menteri', 'pororo', 'nanti', 'lokasinya', 'akan', 'menyewa', 'ballroom', 'gedung', 'yg', 'biasa', 'dipakai', 'buat', 'pesta', 'resepsi', 'pernikahan', 'biar', 'muat', 'ceunah', 'info', 'a']"
 bapak bikin kabinet gendut juga jd beban apbn dan masyarakat lo pak,negatif,13,"['bapak', 'bikin', 'kabinet', 'gendut', 'juga', 'jd', 'beban', 'apbn', 'dan', 'masyarakat', 'lo', 'pak']"
pimpin sidang kabinet paripurna perdana presiden tekankan pentingnya persatuan nasional dan kedaulatan bangsa serta akan ada pembekalan menteri di magelang jawa tengah ,positif,24,"['pimpin', 'sidang', 'kabinet', 'paripurna', 'perdana', 'presiden', 'tekankan', 'pentingnya', 'persatuan', 'nasional', 'dan', 'kedaulatan', 'bangsa', 'serta', 'akan', 'ada', 'pembekalan', 'menteri', 'di', 'magelang', 'jawa', 'tengah']"
 dlm rpt kabinet td ada ksh pertanyaan ga sm fufufafa cak ,negatif,12,"['dlm', 'rpt', 'kabinet', 'td', 'ada', 'ksh', 'pertanyaan', 'ga', 'sm', 'fufufafa', 'cak']"
 gak bisa ndut duit gue ngepas buat bayar pajak ndut kan kabinet lu gendut ndut,negatif,16,"['gak', 'bisa', 'ndut', 'duit', 'gue', 'ngepas', 'buat', 'bayar', 'pajak', 'ndut', 'kan', 'kabinet', 'lu', 'gendut', 'ndut']"
rapat perdana kabinet merah putih prabowo minta menteri bekerja seperti total football ,netral,14,"['rapat', 'perdana', 'kabinet', 'merah', 'putih', 'prabowo', 'minta', 'menteri', 'bekerja', 'seperti', 'total', 'football']"
komandan tkn fanta arief rosyid hasan apresiasi prabowo sebagai negarawan sejati yang libatkan generasi muda dalam kabinet merah putih ,positif,20,"['komandan', 'tkn', 'fanta', 'arief', 'rosyid', 'hasan', 'apresiasi', 'prabowo', 'sebagai', 'negarawan', 'sejati', 'yang', 'libatkan', 'generasi', 'muda', 'dalam', 'kabinet', 'merah', 'putih']"
prabowogibran bakal boyong kabinet merah putih ke akmil magelang selama hari ,netral,13,"['prabowogibran', 'bakal', 'boyong', 'kabinet', 'merah', 'putih', 'ke', 'akmil', 'magelang', 'selama', 'hari']"
dua kata lucu kabinet gemoy ,negatif,6,"['dua', 'kata', 'lucu', 'kabinet', 'gemoy']"
analis politik jokowi pengendali kabinet merah putih ,negatif,8,"['analis', 'politik', 'jokowi', 'pengendali', 'kabinet', 'merah', 'putih']"
sekretaris kabinet seskab mayor teddy indra wijaya memperingatkan seluruh kabinet merah putih agar berhatihati dalam menggunakan kop surat dan tanda tangan ,netral,22,"['sekretaris', 'kabinet', 'seskab', 'mayor', 'teddy', 'indra', 'wijaya', 'memperingatkan', 'seluruh', 'kabinet', 'merah', 'putih', 'agar', 'berhatihati', 'dalam', 'menggunakan', 'kop', 'surat', 'dan', 'tanda', 'tangan']"
prabowo subianto lantik menteri dan wakil menteri kabinet merah putih ,netral,11,"['prabowo', 'subianto', 'lantik', 'menteri', 'dan', 'wakil', 'menteri', 'kabinet', 'merah', 'putih']"
 prabowo sangat ngawur di kabinet nya asal comot aja,negatif,10,"['prabowo', 'sangat', 'ngawur', 'di', 'kabinet', 'nya', 'asal', 'comot', 'aja']"
beratampterjal nasib ridwan kamil dipentas politik nasional dia icon orang sunda yg meniti karir politik dgn identitas etnis yg kental bertarung di jakarta dlm kemasan parpol yg rusak bak simalakama keresahan tdk masuk kabinet mnyurutkan kader militan u berjuang,negatif,40,"['beratampterjal', 'nasib', 'ridwan', 'kamil', 'dipentas', 'politik', 'nasional', 'dia', 'icon', 'orang', 'sunda', 'yg', 'meniti', 'karir', 'politik', 'dgn', 'identitas', 'etnis', 'yg', 'kental', 'bertarung', 'di', 'jakarta', 'dlm', 'kemasan', 'parpol', 'yg', 'rusak', 'bak', 'simalakama', 'keresahan', 'tdk', 'masuk', 'kabinet', 'mnyurutkan', 'kader', 'militan', 'u', 'berjuang']"
dlm politik derajat ekspektasi itu hrs dirumuskan berulang kadar kawan lawan bahkan terselubung bagai bunglon hrs jdi standar dewan syuro hasan nasbi diyakini jdi pemanas didepaknya gerbong syaiku aboe bakar dari kabinet prabowo mungkin kurang jilatan sperti babeh haikal,negatif,39,"['dlm', 'politik', 'derajat', 'ekspektasi', 'itu', 'hrs', 'dirumuskan', 'berulang', 'kadar', 'kawan', 'lawan', 'bahkan', 'terselubung', 'bagai', 'bunglon', 'hrs', 'jdi', 'standar', 'dewan', 'syuro', 'hasan', 'nasbi', 'diyakini', 'jdi', 'pemanas', 'didepaknya', 'gerbong', 'syaiku', 'aboe', 'bakar', 'dari', 'kabinet', 'prabowo', 'mungkin', 'kurang', 'jilatan', 'sperti', 'babeh', 'haikal']"
ada yg kecele terbuang dari lingkaran kabinet prabowo siapa dia awalnya mmelas kini mnjadi blunder mendepak karna janji surga ini politik bung belajarlah lebih matang soal watak politik bersanding dgn mnjadi hambar kan skarang,negatif,38,"['ada', 'yg', 'kecele', 'terbuang', 'dari', 'lingkaran', 'kabinet', 'prabowo', 'siapa', 'dia', 'awalnya', 'mmelas', 'kini', 'mnjadi', 'blunder', 'mendepak', 'karna', 'janji', 'surga', 'ini', 'politik', 'bung', 'belajarlah', 'lebih', 'matang', 'soal', 'watak', 'politik', 'bersanding', 'dgn', 'mnjadi', 'hambar', 'kan', 'skarang']"
langkah cepat pak untuk menjalankan programprogram kerjanya beliau berharap hari pertama harus sudah tampak jelas jejakjejak kinerja kabinet merah putih apa konsekuensi bagi menteri yang tak mampu apakah ada sanksi tegas rakyat menanti hasil kerja pemerintah ,negatif,39,"['langkah', 'cepat', 'pak', 'untuk', 'menjalankan', 'programprogram', 'kerjanya', 'beliau', 'berharap', 'hari', 'pertama', 'harus', 'sudah', 'tampak', 'jelas', 'jejakjejak', 'kinerja', 'kabinet', 'merah', 'putih', 'apa', 'konsekuensi', 'bagi', 'menteri', 'yang', 'tak', 'mampu', 'apakah', 'ada', 'sanksi', 'tegas', 'rakyat', 'menanti', 'hasil', 'kerja', 'pemerintah']"
kabinet merah putih dinilai psi jadi solusi masalah kompleks di indonesia ,netral,13,"['kabinet', 'merah', 'putih', 'dinilai', 'psi', 'jadi', 'solusi', 'masalah', 'kompleks', 'di', 'indonesia']"
 kabinet gemuk,negatif,3,"['kabinet', 'gemuk']"
wapres gibran hadir di sidang kabinet paripurna perdana di bawah presiden prabowo fokus pada hilirisasi swasembada pangan dan program makan bergizi ,netral,22,"['wapres', 'gibran', 'hadir', 'di', 'sidang', 'kabinet', 'paripurna', 'perdana', 'di', 'bawah', 'presiden', 'prabowo', 'fokus', 'pada', 'hilirisasi', 'swasembada', 'pangan', 'dan', 'program', 'makan', 'bergizi']"
 entah kenapa masih menyangsikan dengan kabinet yg baru ini sdh kabinet gemuk dan terkesan bagi bagi jabatan beban apbn juga makin tinggi diisi pula sama orang yg blunder trs kerjaannya semoga tahun kedepan kita semua perekonomiannya membaik dan gak perlu cemas,negatif,43,"['entah', 'kenapa', 'masih', 'menyangsikan', 'dengan', 'kabinet', 'yg', 'baru', 'ini', 'sdh', 'kabinet', 'gemuk', 'dan', 'terkesan', 'bagi', 'bagi', 'jabatan', 'beban', 'apbn', 'juga', 'makin', 'tinggi', 'diisi', 'pula', 'sama', 'orang', 'yg', 'blunder', 'trs', 'kerjaannya', 'semoga', 'tahun', 'kedepan', 'kita', 'semua', 'perekonomiannya', 'membaik', 'dan', 'gak', 'perlu', 'cemas']"
 mentri yang paling guwa suka di kabinet jokowi hanya bu retno saja,negatif,13,"['mentri', 'yang', 'paling', 'guwa', 'suka', 'di', 'kabinet', 'jokowi', 'hanya', 'bu', 'retno', 'saja']"
 menegaskan kembali bahwa kabinet ini harus segera bekerja dengan baik dibutuhkan kekompakan termasuk juga dalam menyelesaikan permasalahan di lapangan sesuai dengan bidang dan domain masingmasing,positif,26,"['menegaskan', 'kembali', 'bahwa', 'kabinet', 'ini', 'harus', 'segera', 'bekerja', 'dengan', 'baik', 'dibutuhkan', 'kekompakan', 'termasuk', 'juga', 'dalam', 'menyelesaikan', 'permasalahan', 'di', 'lapangan', 'sesuai', 'dengan', 'bidang', 'dan', 'domain', 'masingmasing']"
presiden pimpin rapat kabinet merah putih langsung tegesin gak kerja dgn bener copot nah pembantu mulyono byk nih di kabinet tinggal lihat bs patuh dan ikut arahan apa nggak kalo nggak ya copot reputasi terbaik mrk hancur seketika bukti presiden skr yg pegang kendali,negatif,44,"['presiden', 'pimpin', 'rapat', 'kabinet', 'merah', 'putih', 'langsung', 'tegesin', 'gak', 'kerja', 'dgn', 'bener', 'copot', 'nah', 'pembantu', 'mulyono', 'byk', 'nih', 'di', 'kabinet', 'tinggal', 'lihat', 'bs', 'patuh', 'dan', 'ikut', 'arahan', 'apa', 'nggak', 'kalo', 'nggak', 'ya', 'copot', 'reputasi', 'terbaik', 'mrk', 'hancur', 'seketika', 'bukti', 'presiden', 'skr', 'yg', 'pegang', 'kendali']"
 preketek selama masih ada mentri periode lalu yg terbukti menyengsarakan rakyat di kabinet sekarang gak akan percaya,negatif,18,"['preketek', 'selama', 'masih', 'ada', 'mentri', 'periode', 'lalu', 'yg', 'terbukti', 'menyengsarakan', 'rakyat', 'di', 'kabinet', 'sekarang', 'gak', 'akan', 'percaya']"
selamat bertugas untuk bapak budi santoso selalu menteri perdagangan republik indonesia dalam kabinet merah putih di bawah kepemerintahan presiden republik indonesia bapak prabowo subianto salam dari pulau formosa ,netral,29,"['selamat', 'bertugas', 'untuk', 'bapak', 'budi', 'santoso', 'selalu', 'menteri', 'perdagangan', 'republik', 'indonesia', 'dalam', 'kabinet', 'merah', 'putih', 'di', 'bawah', 'kepemerintahan', 'presiden', 'republik', 'indonesia', 'bapak', 'prabowo', 'subianto', 'salam', 'dari', 'pulau', 'formosa']"
